#START
2014 10 18 03 01 41 0.00188609	0.00115905	0.000641838	0.00045654	0.00033014	0.000183005	0.000132787	0.000113279	0.000233384	6.87236e-05	0.000177582	0.00403449	0.000122976	6.11989e-05	5.99244e-05	2.7746e-05	6.09681e-05	6.92507e-05	3.40214e-05	8.78096e-05	8.02782e-05	0.000103633	7.27209e-05	1.16087e-05	1.35115e-05	1.03123e-05	1.18886e-05	7.98579e-06	7.65167e-06	7.86011e-06	1.60827e-05	3.58415e-05	1.86848e-05	8.86426e-06	3.71674e-05	1.78476e-05	3.22466e-05	4.17147e-05	1.19242e-05	3.61846e-05	4.10329e-05	5.48471e-05	0.000113401	0.000289577	0.000289577	8.31573e-05	7.40583e-05	8.02942e-05	0.000305601	0.000401143	7.39571e-05	0.000240623	5.17357e-05	2.8155e-05	4.06985e-05	4.71073e-05	1.88941e-06	9.44704e-07	4.72352e-07
2014 10 18 07 38 39 0.00188453	0.00115796	0.000641141	0.000456028	0.000329672	0.000182811	0.000132582	0.000113046	0.000232751	6.85412e-05	0.000176972	0.00402008	0.000122716	6.10015e-05	5.97089e-05	2.57551e-05	6.0753e-05	6.89863e-05	3.31466e-05	7.5894e-05	7.90078e-05	0.000103195	6.85898e-05	1.15792e-05	1.3483e-05	1.02852e-05	1.10948e-05	7.1325e-06	7.19541e-06	7.10855e-06	1.45652e-05	3.19347e-05	1.50265e-05	7.77193e-06	3.69886e-05	1.64097e-05	2.84593e-05	3.3622e-05	1.03536e-05	2.8117e-05	3.12173e-05	3.9194e-05	7.89565e-05	0.000288377	0.000288377	6.00548e-05	4.84736e-05	6.09896e-05	0.000228507	0.000311276	5.71304e-05	0.000190516	5.17335e-05	2.81538e-05	4.06966e-05	4.71051e-05	1.88932e-06	9.44659e-07	4.7233e-07
2014 10 18 12 15 42 0.00188954	0.00116134	0.000643233	0.000457556	0.000331006	0.000183395	0.000133158	0.000113676	0.000234413	6.90209e-05	0.000178539	0.00405701	0.000123417	6.15114e-05	6.02607e-05	2.61682e-05	6.1304e-05	6.96595e-05	3.3522e-05	7.75301e-05	7.99188e-05	0.0001043	6.9446e-05	1.16572e-05	1.35592e-05	1.03561e-05	1.1203e-05	7.25121e-06	7.25904e-06	7.21309e-06	1.48087e-05	3.2466e-05	1.5523e-05	7.92155e-06	3.74358e-05	1.66075e-05	2.91406e-05	3.48014e-05	1.0569e-05	2.92137e-05	3.25567e-05	4.13317e-05	8.36584e-05	0.000291423	0.000291423	6.32023e-05	5.19522e-05	6.36214e-05	0.000239005	0.000323543	5.94247e-05	0.000197331	5.17313e-05	2.81525e-05	4.06947e-05	4.71029e-05	1.88923e-06	9.44615e-07	4.72307e-07
2014 10 18 16 52 43 0.00188983	0.00116151	0.000643323	0.000457619	0.000331047	0.000183421	0.000133174	0.000113686	0.000234428	6.90252e-05	0.000178544	0.00405709	0.000123428	6.15136e-05	6.02618e-05	2.6628e-05	6.13053e-05	6.96599e-05	3.37057e-05	8.03721e-05	8.01483e-05	0.000104298	7.03961e-05	1.1658e-05	1.35604e-05	1.03568e-05	1.13918e-05	7.45632e-06	7.36893e-06	7.39374e-06	1.51677e-05	3.33929e-05	1.63896e-05	8.18173e-06	3.74342e-05	1.6951e-05	3.00222e-05	3.67128e-05	1.09433e-05	3.11265e-05	3.48889e-05	4.50523e-05	9.18431e-05	0.000291421	0.000291421	6.86861e-05	5.80176e-05	6.82056e-05	0.000257299	0.000344899	6.34209e-05	0.000209214	5.17291e-05	2.81513e-05	4.06928e-05	4.71006e-05	1.88914e-06	9.4457e-07	4.72285e-07
2014 10 18 21 29 43 0.00189325	0.0011638	0.000644739	0.000458653	0.000331945	0.000183817	0.000133561	0.000114107	0.000235534	6.93446e-05	0.000179584	0.00408159	0.000123897	6.18522e-05	6.06279e-05	2.75596e-05	6.1671e-05	7.01063e-05	3.42166e-05	8.55162e-05	8.10803e-05	0.000105031	7.23278e-05	1.17099e-05	1.36115e-05	1.04041e-05	1.1734e-05	7.82638e-06	7.56713e-06	7.7197e-06	1.58415e-05	3.50746e-05	1.79626e-05	8.65296e-06	3.77304e-05	1.75726e-05	3.1738e-05	4.02354e-05	1.16211e-05	3.45969e-05	3.91162e-05	5.17948e-05	0.000106677	0.000293439	0.000293439	7.86299e-05	6.90213e-05	7.6517e-05	0.000290478	0.000383607	7.0666e-05	0.000230769	5.17269e-05	2.81501e-05	4.06909e-05	4.70984e-05	1.88905e-06	9.44525e-07	4.72263e-07
2014 10 19 02 06 46 0.00189256	0.00116332	0.000644419	0.000458416	0.000331721	0.000183728	0.000133462	0.000113991	0.000235211	6.92517e-05	0.000179269	0.00407413	0.000123767	6.17505e-05	6.05163e-05	2.80667e-05	6.15598e-05	6.99692e-05	3.43762e-05	8.88376e-05	8.11893e-05	0.000104804	7.33764e-05	1.16949e-05	1.35973e-05	1.03904e-05	1.19549e-05	8.06572e-06	7.69541e-06	7.93053e-06	1.62535e-05	3.61593e-05	1.89767e-05	8.95713e-06	3.76372e-05	1.79741e-05	3.27333e-05	4.24542e-05	1.20586e-05	3.68345e-05	4.18431e-05	5.61444e-05	0.000116246	0.000292812	0.000292812	8.50428e-05	7.61159e-05	8.18778e-05	0.000311874	0.000408578	7.53391e-05	0.00024467	5.17269e-05	2.81501e-05	4.06909e-05	4.70984e-05	1.88905e-06	9.44525e-07	4.72263e-07
2014 10 19 06 43 45 0.00189362	0.00116401	0.000644837	0.000458719	0.000331975	0.000183846	0.000133569	0.000114103	0.000235496	6.93341e-05	0.000179531	0.00408026	0.000123891	6.18361e-05	6.06079e-05	2.67609e-05	6.16515e-05	7.00804e-05	3.38913e-05	8.06349e-05	8.0654e-05	0.000104985	7.06688e-05	1.17084e-05	1.3611e-05	1.04027e-05	1.14087e-05	7.47852e-06	7.38158e-06	7.41338e-06	1.52248e-05	3.34697e-05	1.64574e-05	8.20518e-06	3.77097e-05	1.69846e-05	3.02018e-05	3.69175e-05	1.09774e-05	3.12789e-05	3.50841e-05	4.53654e-05	9.2527e-05	0.00029331	0.00029331	6.91334e-05	5.84958e-05	6.85844e-05	0.000258785	0.000346697	6.37523e-05	0.000210165	5.17269e-05	2.81501e-05	4.06909e-05	4.70984e-05	1.88905e-06	9.44525e-07	4.72263e-07
2014 10 19 20 34 48 0.00189385	0.0011641	0.000644839	0.000458713	0.000331925	0.000183849	0.000133542	0.000114053	0.000235321	6.92845e-05	0.000179339	0.00407564	0.000123833	6.17759e-05	6.05386e-05	2.75945e-05	6.15832e-05	6.99935e-05	3.41972e-05	8.59082e-05	8.09764e-05	0.000104836	7.23986e-05	1.17006e-05	1.36047e-05	1.03954e-05	1.17614e-05	7.85884e-06	7.58644e-06	7.74865e-06	1.58864e-05	3.51947e-05	1.80657e-05	8.68842e-06	3.76463e-05	1.76243e-05	3.18128e-05	4.04498e-05	1.16723e-05	3.48259e-05	3.94051e-05	5.22542e-05	0.00010768	0.000292902	0.000292902	7.92917e-05	6.97291e-05	7.70791e-05	0.000292687	0.000386272	7.11585e-05	0.000235402	5.58664e-05	3.04982e-05	4.43875e-05	5.14862e-05	2.06714e-06	1.03357e-06	5.16786e-07
2014 10 20 01 11 50 0.00189391	0.00116411	0.000644833	0.000458705	0.000331905	0.000183848	0.000133531	0.000114034	0.000235257	6.92664e-05	0.000179269	0.00407398	0.000123811	6.17541e-05	6.05137e-05	2.78161e-05	6.15585e-05	6.99623e-05	3.42761e-05	8.73239e-05	8.10541e-05	0.000104782	7.28547e-05	1.16978e-05	1.36024e-05	1.03928e-05	1.1855e-05	7.96168e-06	7.6416e-06	7.83921e-06	1.60638e-05	3.56542e-05	1.84949e-05	8.81787e-06	3.76238e-05	1.77956e-05	3.22416e-05	4.13936e-05	1.18586e-05	3.5774e-05	4.05633e-05	5.41027e-05	0.000111745	0.000292755	0.000292755	8.2013e-05	7.27359e-05	7.93547e-05	0.000301763	0.00039688	7.31424e-05	0.000241295	5.58664e-05	3.04982e-05	4.43875e-05	5.14862e-05	2.06714e-06	1.03357e-06	5.16786e-07
2014 10 20 05 48 52 0.00188913	0.00116084	0.000642774	0.000457196	0.000330558	0.000183275	0.000132945	0.00011338	0.000233504	6.87611e-05	0.000177598	0.00403454	0.000123082	6.12119e-05	5.99242e-05	2.66668e-05	6.09704e-05	6.92416e-05	3.35937e-05	8.12227e-05	7.97253e-05	0.000103595	7.04682e-05	1.16158e-05	1.35231e-05	1.03181e-05	1.14489e-05	7.52508e-06	7.40837e-06	7.45472e-06	1.52551e-05	3.36535e-05	1.66204e-05	8.25856e-06	3.7141e-05	1.70598e-05	3.01479e-05	3.71744e-05	1.10544e-05	3.16402e-05	3.55343e-05	4.60824e-05	9.40965e-05	0.000289483	0.000289483	7.01749e-05	5.96239e-05	6.94637e-05	0.00026226	0.000350838	6.45212e-05	0.000215621	5.58664e-05	3.04982e-05	4.43875e-05	5.14862e-05	2.06714e-06	1.03357e-06	5.16786e-07
