rule atol=1e-10 rtol=1e-08
field            ieee    variant      cheap      wrong   max|ref|   max|err|(1st)  |r|@worst(1st)
Eta          9.32e-03   1.22e-03   4.50e+06   3.85e+06   2.86e+00   1.00e-12   4.78e-04
PH           9.46e-02   2.07e-02   2.56e+08   8.22e+07   1.38e+03   1.00e-11   2.02e-04
PHL          3.84e-02   7.81e-03   9.58e+07   1.35e+07   2.79e+01   9.85e-12   1.52e-02
S            3.72e-07   2.88e-07   1.19e+04   7.73e+05   3.74e+01   1.28e-13   3.44e+01
T            4.14e-04   4.10e-04   2.79e+07   2.25e+09   3.01e+01   2.27e-13   4.12e-03
U            5.75e-05   3.97e-05   6.22e+05   1.38e+07   3.12e-01   1.08e-14   8.83e-03
V            3.04e-05   6.36e-05   7.66e+05   1.57e+07   6.73e-01   8.06e-15   1.22e-03
W            3.87e-07   5.28e-07   1.54e+03   1.30e+05   7.17e-04   3.87e-17   5.06e-07
