rule atol=1e-10 rtol=1e-08
field            ieee    variant      cheap      wrong   max|ref|   max|err|(1st)  |r|@worst(1st)
Eta          0.00e+00   8.30e-04   3.25e+06   4.37e+05   4.22e-01   0.00e+00   8.33e-02
PH           0.00e+00   2.83e-02   1.81e+07   3.48e+06   1.15e+01   0.00e+00   5.11e-02
PHL          0.00e+00   2.86e-02   1.93e+07   3.48e+06   3.88e+00   0.00e+00   8.17e-01
PTRACER01    0.00e+00   4.06e-08   3.76e-02   2.49e+01   3.60e+01   0.00e+00   3.60e+01
S            0.00e+00   4.06e-08   3.76e-02   2.16e+01   3.60e+01   0.00e+00   3.60e+01
T            0.00e+00   2.36e-07   9.47e+01   7.20e+06   7.59e-01   0.00e+00   6.97e-01
U            0.00e+00   2.96e-06   5.16e+03   3.33e+07   6.83e-01   0.00e+00   2.48e-01
V            0.00e+00   1.88e-05   3.29e+03   3.20e+07   8.73e-01   0.00e+00   0.00e+00
W            0.00e+00   6.91e-07   2.88e+02   1.32e+06   2.60e-02   0.00e+00   0.00e+00
