rule atol=1e-10 rtol=1e-08
field         variant   max|ref|   max|err|(1st)  |r|@worst(1st)
Eta          1.19e-03   3.58e-01   1.07e-12   7.96e-02
PH           2.29e-03   3.97e+01   7.83e-12   6.81e-02
PHL          1.74e-05   1.06e+01   1.61e-12   9.25e+00
S            8.21e-02   1.20e+01   8.87e-09   1.08e+01
T            4.41e-04   1.33e+01   4.33e-11   9.78e+00
U            1.87e-02   1.42e-01   2.29e-12   2.19e-03
V            2.26e-02   8.90e-03   2.32e-12   2.86e-04
W            2.75e-05   2.48e-05   2.75e-15   2.97e-06
