check,file,atol,bulk_failing,bulk_margin,bulk_values,combined_margin,files,max_absolute_error_below_atol,max_bound_fraction,max_relative_error_above_atol,near_zero_failing,near_zero_margin,near_zero_values,rtol,values,values_failing
designer-fr,4_Des_F_R_wCDM_2_matterpower.dat,1.0,0,,759,,1,0.0,0.0,0.0,0,,551,0.0001,1310,0
designer-fr,4_Des_F_R_wCDM_2_scalCls.dat,100.0,0,10.37940000009794,9531,100010.37940094371,1,0.00010000000000331966,9.998962167626412e-06,9.634468273605064e-06,0,999999.9999668035,11463,0.0001,20994,0
designer-fr,4_Des_F_R_wCDM_2_scalarCovCls.dat,0.1,0,10.121600000158436,17442,21.696600000019735,1,5.000000000005e-07,0.0460901708101311,9.879860891403995e-06,0,199999.9999998,73532,0.0001,90974,0
designer-fr,4_Des_F_R_wCDM_2_tensCls.dat,0.01,0,,6808,,1,0.0,0.0,0.0,0,,10687,0.0001,17495,0
designer-fr,4_Des_F_R_wCDM_2_totCls.dat,0.1,0,10.252699999951046,13946,21.491200000019546,1,5.000000000005e-07,0.04653067301961224,9.75352833892316e-06,0,199999.9999998,3549,0.0001,17495,0
designer-fr,4_Des_F_R_wCDM_2_transfer_out.dat,1000.0,0,,2049,755857898715.0957,1,1.3229999999999914e-09,1.3229999999999052e-12,0.0,0,755857898715.0465,1240,0.0001,3289,0
designer-mc5e,4_Des_mc5e_CPL_1_lensedCls.dat,0.1,0,10.700899999948906,13545,110.70089999947142,1,3.000000000016878e-07,0.009033350225741388,9.345008363827107e-06,0,333333.33333145804,3450,0.0001,16995,0
designer-mc5e,4_Des_mc5e_CPL_1_lensedtotCls.dat,0.1,0,10.4924999999499,13554,110.49249999947241,1,3.000000000016878e-07,0.009050388035430231,9.530617107503216e-06,0,333333.33333145804,3441,0.0001,16995,0
designer-mc5e,4_Des_mc5e_CPL_1_lenspotentialCls.dat,0.1,0,11.49879999992467,13947,34.3961999992492,1,2.999999999947489e-07,0.029072978992499984,8.696559641062992e-06,0,333333.3333391679,14045,0.0001,27992,0
designer-mc5e,4_Des_mc5e_CPL_1_matterpower.dat,1.0,0,,725,,1,0.0,0.0,0.0,0,,585,0.0001,1310,0
designer-mc5e,4_Des_mc5e_CPL_1_scalCls.dat,100.0,0,10.18649999995136,9521,10014.493200009107,1,0.00010000000000331966,9.985527774876222e-05,9.816914543805771e-06,0,999999.9999668035,11473,0.0001,20994,0
designer-mc5e,4_Des_mc5e_CPL_1_scalarCovCls.dat,0.1,0,10.262800000160649,17425,21.984800000019998,1,2.0000000000575113e-07,0.045485972126154905,9.7439295317491e-06,0,499999.9999856222,73549,0.0001,90974,0
designer-mc5e,4_Des_mc5e_CPL_1_tensCls.dat,0.01,0,55.678499998398934,6810,100055.67849712283,1,0.0,9.994435248657633e-06,1.7960253958507425e-06,0,,10685,0.0001,17495,0
designer-mc5e,4_Des_mc5e_CPL_1_totCls.dat,0.1,0,11.49879999992467,13947,34.3961999992492,1,2.999999999947489e-07,0.029072978992499984,8.696559641062992e-06,0,333333.3333391679,3548,0.0001,17495,0
designer-mc5e,4_Des_mc5e_CPL_1_transfer_out.dat,1000.0,0,,1988,9999999999459352.0,1,1.0000000000540735e-13,1.0000000000540648e-16,0.0,0,9999999999459266.0,1301,0.0001,3289,0
designer-mc5e,4_Des_mc5e_CPL_2_lensedCls.dat,0.1,0,10.26760000002393,13547,160.18420000378785,1,9.999999999593667e-08,0.00624281296143036,9.739374342569534e-06,0,1000000.0000406334,3448,0.0001,16995,0
designer-mc5e,4_Des_mc5e_CPL_2_lensedtotCls.dat,0.1,0,14.260899999906576,13556,121.9021000028826,1,1.0000000000287557e-07,0.008203304126642224,7.01218015697853e-06,0,999999.9999712444,3439,0.0001,16995,0
designer-mc5e,4_Des_mc5e_CPL_2_lenspotentialCls.dat,0.1,0,11.323500000026389,13945,112.93889999946074,1,1.0000000000287557e-07,0.008854345137103113,8.83119176930869e-06,0,999999.9999712444,14047,0.0001,27992,0
designer-mc5e,4_Des_mc5e_CPL_2_matterpower.dat,1.0,0,,724,,1,0.0,0.0,0.0,0,,588,0.0001,1312,0
designer-mc5e,4_Des_mc5e_CPL_2_scalCls.dat,100.0,0,,9482,1000015.0654023305,1,0.00010000000000331966,9.999849348246325e-07,0.0,0,999999.9999668035,11512,0.0001,20994,0
designer-mc5e,4_Des_mc5e_CPL_2_scalarCovCls.dat,0.1,0,22.058899999894674,17420,122.05889999941719,1,9.999999999940612e-08,0.008192765951559246,4.533317617853904e-06,0,1000000.0000059388,73554,0.0001,90974,0
designer-mc5e,4_Des_mc5e_CPL_2_tensCls.dat,0.01,0,,6765,,1,0.0,0.0,0.0,0,,10730,0.0001,17495,0
designer-mc5e,4_Des_mc5e_CPL_2_totCls.dat,0.1,0,11.323500000026389,13945,112.93889999946074,1,1.0000000000287557e-07,0.008854345137103113,8.83119176930869e-06,0,999999.9999712444,3550,0.0001,17495,0
designer-mc5e,4_Des_mc5e_CPL_2_transfer_out.dat,1000.0,0,,1996,1000000000025368.2,1,9.999999999746641e-13,9.999999999746317e-16,0.0,0,1000000000025335.9,1319,0.0001,3315,0
designer-mc5e,4_Des_mc5e_taylor_1_lensedCls.dat,0.1,0,13.36970000003116,13547,33.240800000786045,1,1.9999999999881224e-07,0.030083511828125468,7.479599392639097e-06,0,500000.0000029694,3448,0.0001,16995,0
designer-mc5e,4_Des_mc5e_taylor_1_lensedtotCls.dat,0.1,0,14.30870000003335,13555,121.89469999941798,1,1.9999999999881224e-07,0.008203802134176258,6.988755093038986e-06,0,500000.0000029694,3440,0.0001,16995,0
designer-mc5e,4_Des_mc5e_taylor_1_lenspotentialCls.dat,0.1,0,15.435999999984563,13947,137.19190000324417,1,1.9999999999187335e-07,0.007289060068242754,6.478362270024618e-06,0,500000.0000203167,14045,0.0001,27992,0
designer-mc5e,4_Des_mc5e_taylor_1_matterpower.dat,1.0,0,,724,,1,0.0,0.0,0.0,0,,586,0.0001,1310,0
designer-mc5e,4_Des_mc5e_taylor_1_scalCls.dat,100.0,0,24.386699999467695,9504,10024.386699781187,1,0.00010000000000331966,9.975672626653838e-05,4.100595816661655e-06,0,999999.9999668035,11490,0.0001,20994,0
designer-mc5e,4_Des_mc5e_taylor_1_scalarCovCls.dat,0.1,0,13.012100000030326,17428,30.233300000027498,1,1.0000000000287557e-07,0.03307611144000458,7.685154586866604e-06,0,999999.9999712444,73546,0.0001,90974,0
designer-mc5e,4_Des_mc5e_taylor_1_tensCls.dat,0.01,0,,6794,,1,0.0,0.0,0.0,0,,10701,0.0001,17495,0
designer-mc5e,4_Des_mc5e_taylor_1_totCls.dat,0.1,0,15.435999999984563,13947,137.19190000324417,1,1.9999999999187335e-07,0.007289060068242754,6.478362270024618e-06,0,500000.0000203167,3548,0.0001,17495,0
designer-mc5e,4_Des_mc5e_taylor_1_transfer_out.dat,1000.0,0,,1989,999999999972423.1,1,1.0000000000276037e-12,1.0000000000275769e-15,0.0,0,999999999972396.2,1313,0.0001,3302,0
designer-mc5e,4_Des_mc5e_taylor_2_lensedCls.dat,0.1,0,11.784799999922797,13547,175.77160000415648,1,2.0000000000575113e-07,0.005689201213258302,8.485506754518967e-06,0,499999.9999856222,3448,0.0001,16995,0
designer-mc5e,4_Des_mc5e_taylor_2_lensedtotCls.dat,0.1,0,13.993399999908327,13555,30.844100000729366,1,1.9999999999187335e-07,0.03242111133008754,7.14622607805502e-06,0,500000.0000203167,3440,0.0001,16995,0
designer-mc5e,4_Des_mc5e_taylor_2_lenspotentialCls.dat,0.1,0,17.903600000041727,13944,32.29149999929515,1,2.0000000000575113e-07,0.030967901770491545,5.585468844241769e-06,0,499999.9999856222,14048,0.0001,27992,0
designer-mc5e,4_Des_mc5e_taylor_2_matterpower.dat,1.0,0,,724,,1,0.0,0.0,0.0,0,,586,0.0001,1310,0
designer-mc5e,4_Des_mc5e_taylor_2_scalCls.dat,100.0,0,11.421200000010389,9514,10011.421200009105,1,0.00010000000000331966,9.988591829490608e-05,8.755647392560243e-06,0,999999.9999668035,11480,0.0001,20994,0
designer-mc5e,4_Des_mc5e_taylor_2_scalarCovCls.dat,0.1,0,10.2422999999329,17418,167.73380000396637,1,1.9999999999881224e-07,0.005961827610036577,9.763432041695237e-06,0,500000.0000029694,73556,0.0001,90974,0
designer-mc5e,4_Des_mc5e_taylor_2_tensCls.dat,0.01,0,,6804,,1,0.0,0.0,0.0,0,,10691,0.0001,17495,0
designer-mc5e,4_Des_mc5e_taylor_2_totCls.dat,0.1,0,17.903600000041727,13944,32.29149999929515,1,2.0000000000575113e-07,0.030967901770491545,5.585468844241769e-06,0,499999.9999856222,3551,0.0001,17495,0
designer-mc5e,4_Des_mc5e_taylor_2_transfer_out.dat,1000.0,0,,1987,,1,0.0,0.0,0.0,0,,1302,0.0001,3289,0
designer-mc5e,4_Des_mc5e_turning_point_1_lensedCls.dat,0.1,0,12.528899999987472,13549,121.62599999941926,1,1.0000000000287557e-07,0.008221926232917096,7.981546664120554e-06,0,999999.9999712444,3446,0.0001,16995,0
designer-mc5e,4_Des_mc5e_turning_point_1_lensedtotCls.dat,0.1,0,11.97959999998802,13557,136.5267999954678,1,1.0000000000287557e-07,0.007324569242326023,8.347524124353068e-06,0,999999.9999712444,3438,0.0001,16995,0
designer-mc5e,4_Des_mc5e_turning_point_1_lenspotentialCls.dat,0.1,0,10.533000000024549,13945,1010.5330000023554,1,1.0000000000287557e-07,0.0009895767876928999,9.493971328184462e-06,0,999999.9999712444,14047,0.0001,27992,0
designer-mc5e,4_Des_mc5e_turning_point_1_matterpower.dat,1.0,0,,724,,1,0.0,0.0,0.0,0,,588,0.0001,1312,0
designer-mc5e,4_Des_mc5e_turning_point_1_scalCls.dat,100.0,0,22.279099999893624,9485,100022.2790995224,1,0.00010000000000331966,9.997772586295475e-06,4.4885116544419424e-06,0,999999.9999668035,11509,0.0001,20994,0
designer-mc5e,4_Des_mc5e_turning_point_1_scalarCovCls.dat,0.1,0,10.144299999933542,17422,129.83319999569,1,9.999999999940612e-08,0.00770219019505948,9.857752629620094e-06,0,1000000.0000059388,73552,0.0001,90974,0
designer-mc5e,4_Des_mc5e_turning_point_1_tensCls.dat,0.01,0,,6770,,1,0.0,0.0,0.0,0,,10725,0.0001,17495,0
designer-mc5e,4_Des_mc5e_turning_point_1_totCls.dat,0.1,0,10.533000000024549,13945,1010.5330000023554,1,1.0000000000287557e-07,0.0009895767876928999,9.493971328184462e-06,0,999999.9999712444,3550,0.0001,17495,0
designer-mc5e,4_Des_mc5e_turning_point_1_transfer_out.dat,1000.0,0,,1996,1.000000000012104e+16,1,9.99999999987899e-14,9.99999999987896e-17,0.0,0,1.000000000012101e+16,1319,0.0001,3315,0
designer-mc5e,4_Des_mc5e_turning_point_2_lensedCls.dat,0.1,0,5.866799999994133,13550,27.152600000024698,1,1.1200000000002874e-06,0.03682888563154506,1.7045067157581647e-05,0,89285.71428569137,3445,0.0001,16995,0
designer-mc5e,4_Des_mc5e_turning_point_2_lensedtotCls.dat,0.1,0,6.883249999993117,13558,28.306900000025745,1,1.1100000000003468e-06,0.03532707573062011,1.4528020920364654e-05,0,90090.09009006195,3437,0.0001,16995,0
