check,values,failing,max_bulk_relative,max_near_zero_absolute,bulk_margin,near_zero_margin,max_bound_fraction,combined_margin
designer-fr,854126,0,9.970586769041329e-06,0.00010000000000331966,10.02949999998997,199999.9999998,0.04653067301961224,21.491200000019546
designer-mc5e,1708478,0,2.7988468750773156e-05,0.00010000000000331966,3.572900000012955,47619.04761893706,0.046486978997140604,21.511400000019567
gr-baseline,213524,0,9.840001574377319e-06,0.00010000000000331966,10.162600000023685,999999.9999668035,0.03636760373855658,27.497000000025015
horava,1494729,0,1.6952169453902814e-05,0.00010000000000331966,5.898949999994101,71428.5714285531,0.049390520971170276,20.246800000018418
horndeski-full,854229,0,0.00013123359580044194,0.00010000000000331966,0.762000000000482,34482.758620688175,0.04982461734689346,20.070400000018253
kmouflage-kmimic,1280752,3967,0.008886490946887206,0.19400000000007367,0.011253035714285894,88.69966294128078,2.3940492385512595,0.41770235294122116
pure-eft-gamma,4484004,0,9.922603691185448e-06,0.00010000000000331966,10.078000000023488,499999.9999856222,0.03636760373855658,27.497000000025015
pure-eft-omega,1494668,0,9.88366921340596e-06,0.00010000000000331966,10.117699999951691,499999.99999863264,0.02936417746598388,34.055099999256655
pure-eft-wde,427091,0,9.901382232936644e-06,0.00010000000000331966,10.099600000023539,333333.33333145804,0.046486978997140604,21.511400000019567
quintessence-galileon,1281601,0,9.858141346040478e-06,0.00010000000000331966,10.143899999989857,333333.33333531296,0.048033046736110786,20.819000000018935
rph-alpha-basis,1494668,0,9.990309399858831e-06,0.0020000000000095497,10.00970000002333,499999.99999761255,0.03619202038331296,27.63040000002513
