check,file,line,column,coordinate,reference,candidate,absolute_error,relative_error,allowed,bound_fraction
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3252,2,3252.0,936.78,936.488,0.2919999999999163,0.0003117060569182907,0.19367800000000002,1.5076570390024489
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3253,2,3253.0,935.611,935.321,0.2899999999999636,0.0003099578777931893,0.1935611,1.4982349242692028
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3254,2,3254.0,934.441,934.153,0.2880000000000109,0.0003082056545036133,0.1934441,1.488802191434171
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3255,2,3255.0,933.271,932.985,0.2859999999999445,0.00030644903784639673,0.1933271,1.479358041371047
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3256,2,3256.0,932.1,931.816,0.2839999999999918,0.00030468833816113273,0.19321,1.4699032141193098
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3257,2,3257.0,930.928,930.645,0.28300000000001546,0.00030399773129609965,0.1930928,1.465616532568876
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3258,2,3258.0,929.753,929.472,0.28100000000006276,0.000302230807537123,0.19297530000000002,1.4561449055918696
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3259,2,3259.0,928.576,928.297,0.27899999999999636,0.00030046005927355043,0.19285760000000002,1.4466632375389734
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3260,2,3260.0,927.395,927.118,0.27699999999992997,0.00029868610462632425,0.1927395,1.4371729718087365
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3261,2,3261.0,926.21,925.935,0.27500000000009095,0.00029690890834701736,0.19262100000000001,1.4276740334651514
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3262,2,3262.0,925.022,924.749,0.27300000000002456,0.00029512811587186524,0.1925022,1.4181656105749676
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3263,2,3263.0,923.828,923.557,0.27099999999995816,0.00029334464857090083,0.19238280000000002,1.4086498377191627
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3264,2,3264.0,922.629,922.361,0.2680000000000291,0.00029047428598063694,0.19226290000000001,1.3939246729349712
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3265,2,3265.0,921.424,921.158,0.2659999999999627,0.00028868360277132214,0.1921424,1.3843899108159508
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3266,2,3266.0,920.212,919.949,0.26300000000003365,0.0002858037061025434,0.1920212,1.3696404355354181
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3267,2,3267.0,918.994,918.733,0.26100000000008095,0.0002840062067870747,0.1918994,1.3600876292478297
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3268,2,3268.0,917.767,917.509,0.2580000000000382,0.0002811171027069378,0.19177670000000002,1.3453146289410454
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3269,2,3269.0,916.533,916.278,0.25499999999999545,0.0002782223880645819,0.19165330000000003,1.3305275724445935
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,3270,2,3270.0,915.29,915.037,0.25299999999992906,0.0002764151252607688,0.191529,1.3209487858231863
