model,a,log_step,exact_dC_da,table_left_dC_da,table_right_dC_da
5_Kmimic_1,1E-8,0.00001,-68023307.8958649748141464696857567824746754988152502189733333,13275530627750833.7926532140326462190278347985200117329382970,-12280654166119180.5904976292375974581828809123621376867092870
5_Kmimic_1,1E-8,0.000001,-68023307.895864974814377829844504600230427616763355693475,13275530598760685.4314654454634747366119118125040483153703930,-12280654196698527.6431845791225940968700312157520689651373872
5_Kmimic_1,1E-8,1E-7,-68023307.8958649748143778529805204747253248610450232204166667,13275530598470797.5141410807848756646428162196197083483298630,-12280654197004334.2446608427400095837042348469489320662551448
5_Kmimic_2,1E-8,0.00001,-60048267.5234978374863028043803627519439470808965481649275,11595687377075128.4150874921869739212031214612485461350358682,-10726775720479521.2001955064256298690880232507041351808190929
5_Kmimic_2,1E-8,0.000001,-60048267.5234978374865254499372965073503926716148168111416667,11595687351737631.2340311144183743325438269357433661203180576,-10726775747244383.7887641713549014946857874436731050138492576
5_Kmimic_2,1E-8,1E-7,-60048267.5234978374865254722018522002732372373910872651666667,11595687351484268.2650512542854826976615724939225003277900954,-10726775747512044.0095996929201736157414283776329161084245246
5_Kmimic_3,1E-8,0.00001,-6321431.21538425757939775372063633382943459626270287369083333,1310941942786892.00220398224671031635686471928094074075594329,-1212761450327921.86218066384758912496148146477136446850175886
5_Kmimic_3,1E-8,0.000001,-6321431.21538425757941867718835511464667390397694689196166667,1310941939911361.47934421759385328037430929142442164357275258,-1212761453392445.42255138076439404442168674893691577094681750
5_Kmimic_3,1E-8,1E-7,-6321431.21538425757941867928070188650434573813642460059166667,1310941939882607.63886010904139703214136313874773809388699654,-1212761453423092.05735355105081553747060172990857570826056401
