model,a,theta,C_exact,C_table,C_exact_over_AH2,C_table_over_AH2,C_difference_over_exact_AH2,B_exact_over_AH,B_table_over_AH,sound_exact,sound_table,kinetic_table,gradient_table,Hdot_closure_over_H2,omega_derivative_relative,gamma1_derivative_relative,c_derivative_relative,lambda_derivative_relative,k,C_recorded,C_reconstruction_absolute_error,C_reconstruction_error_over_AH2,restoring_exact_over_A,restoring_table_over_A,A1_reconstruction_relative_error,D1_reconstruction_relative_error,adotoa_reconstruction_relative_error,Gamma1_reconstruction_relative_error,Omega_reconstruction_relative_error,pi_ddot_mass_term_difference_at_fixed_recorded_pi
5_Kmimic_1,9.999999919769415E-9,0.999999613234924614875721503525100092335306969129465745982,0.352517224059930362709305393027510526067692080443137055895651,-0.712585961851237870766592442912985649990138001119169344219686,1.33511370338241231664584582388672224257581058367168106017990E-9,-2.69882779220482855497715386801115724915640234931729781965503E-9,-4.03394149837203486232372140806963409814066819402487937437708E-9,0.000171830557522162315304988364570446471211376704319142189699874,0.000171827898743764211066170401903429381631882839765855357621219,0.333304694887524830586795734703202782243756725277626046297729,0.333304694658329043676777472808936081538432407567049422773204,212563.996968598022018736792700972509711731269143438657208269,70848.5781049725441824108905236011161695671682035358209535796,0.000418571754245815634322861162881823260575356518522888273991875,0.0123437605280827241418065370687233935697053035156049957010084,0.0409126873756708510154191949735946295386445223333913837710093,0.0104070355341277593523105563246556311412698469534799033842583,0.0104074795037046606063879943077150495790959801568465837771597,19.08215077664284,-0.7125841034787412,0.000001858372496670766592442912985649990138001119169344219686,7.03834710587676204708771365782993380405074471975791869005091E-15,121.365793498757777313907446292165216775309318793706752765696,121.365605629090369597985631653320503107360983590175719767906,1.44645409170943547206078169712223310052411295274600624606298E-14,8.88187426528461736689017931014192712926556136080006738755285E-15,1.27021743261106382865128024587833207891436226525033756232577E-16,1.70925648934153403921004146224030596686417656886102758596759E-14,8.15121640617355183050405518227309423402612825640725488154799E-17,1.01594859946027291018004962716877651200079700520986812955098E-10
5_Kmimic_1,9.999999919769415E-9,0.999999613234924614875721503525100092335306969129465745982,0.352517224059930362709305393027510526067692080443137055895651,-0.712585961851237870766592442912985649990138001119169344219686,1.33511370338241231664584582388672224257581058367168106017990E-9,-2.69882779220482855497715386801115724915640234931729781965503E-9,-4.03394149837203486232372140806963409814066819402487937437708E-9,0.000171830557522162315304988364570446471211376704319142189699874,0.000171827898743764211066170401903429381631882839765855357621219,0.333304694887524830586795734703202782243756725277626046297729,0.333304694658329043676777472808936081538432407567049422773204,212563.996968598022018736792700972509711731269143438657208269,70848.5781049725441824108905236011161695671682035358209535796,0.000418571754245815634322861162881823260575356518522888273991875,0.0123437605280827241418065370687233935697053035156049957010084,0.0409126873756708510154191949735946295386445223333913837710093,0.0104070355341277593523105563246556311412698469534799033842583,0.0104074795037046606063879943077150495790959801568465837771597,20.655778634598875,-0.7125841034787412,0.000001858372496670766592442912985649990138001119169344219686,7.03834710587676204708771365782993380405074471975791869005091E-15,142.208240238726216551214447756693376722771079939944829059441,142.208052354726574531454723833337595440479856514280287474601,1.44645409170943547206078169712223310052411295274600624606298E-14,8.88187426528461736689017931014192712926556136080006738755285E-15,1.27021743261106382865128024587833207891436226525033756232577E-16,1.70925648934153403921004146224030596686417656886102758596759E-14,8.15121640617355183050405518227309423402612825640725488154799E-17,1.01591958379861597502461391982086013432431687693961675298722E-10
5_Kmimic_1,9.999999919769415E-9,0.999999613234924614875721503525100092335306969129465745982,0.352517224059930362709305393027510526067692080443137055895651,-0.712585961851237870766592442912985649990138001119169344219686,1.33511370338241231664584582388672224257581058367168106017990E-9,-2.69882779220482855497715386801115724915640234931729781965503E-9,-4.03394149837203486232372140806963409814066819402487937437708E-9,0.000171830557522162315304988364570446471211376704319142189699874,0.000171827898743764211066170401903429381631882839765855357621219,0.333304694887524830586795734703202782243756725277626046297729,0.333304694658329043676777472808936081538432407567049422773204,212563.996968598022018736792700972509711731269143438657208269,70848.5781049725441824108905236011161695671682035358209535796,0.000418571754245815634322861162881823260575356518522888273991875,0.0123437605280827241418065370687233935697053035156049957010084,0.0409126873756708510154191949735946295386445223333913837710093,0.0104070355341277593523105563246556311412698469534799033842583,0.0104074795037046606063879943077150495790959801568465837771597,22.35917722250671,-0.7125841034787412,0.000001858372496670766592442912985649990138001119169344219686,7.03834710587676204708771365782993380405074471975791869005091E-15,166.630013542186019920822006470969723422644651626978834787903,166.629825641392832427862744452780280252541079417914910867230,1.44645409170943547206078169712223310052411295274600624606298E-14,8.88187426528461736689017931014192712926556136080006738755285E-15,1.27021743261106382865128024587833207891436226525033756232577E-16,1.70925648934153403921004146224030596686417656886102758596759E-14,8.15121640617355183050405518227309423402612825640725488154799E-17,1.01588614946560799664437166748209985195612613891757721481945E-10
5_Kmimic_1,9.999999919769415E-9,0.999999613234924614875721503525100092335306969129465745982,0.352517224059930362709305393027510526067692080443137055895651,-0.712585961851237870766592442912985649990138001119169344219686,1.33511370338241231664584582388672224257581058367168106017990E-9,-2.69882779220482855497715386801115724915640234931729781965503E-9,-4.03394149837203486232372140806963409814066819402487937437708E-9,0.000171830557522162315304988364570446471211376704319142189699874,0.000171827898743764211066170401903429381631882839765855357621219,0.333304694887524830586795734703202782243756725277626046297729,0.333304694658329043676777472808936081538432407567049422773204,212563.996968598022018736792700972509711731269143438657208269,70848.5781049725441824108905236011161695671682035358209535796,0.000418571754245815634322861162881823260575356518522888273991875,0.0123437605280827241418065370687233935697053035156049957010084,0.0409126873756708510154191949735946295386445223333913837710093,0.0104070355341277593523105563246556311412698469534799033842583,0.0104074795037046606063879943077150495790959801568465837771597,30.69819274654004,-0.7125841034787412,0.000001858372496670766592442912985649990138001119169344219686,7.03834710587676204708771365782993380405074471975791869005091E-15,314.099419848505950885165241138763041447734928147869744822964,314.099231846305951121121845294801203779436181506428840121202,1.44645409170943547206078169712223310052411295274600624606298E-14,8.88187426528461736689017931014192712926556136080006738755285E-15,1.27021743261106382865128024587833207891436226525033756232577E-16,1.70925648934153403921004146224030596686417656886102758596759E-14,8.15121640617355183050405518227309423402612825640725488154799E-17,1.01566466444760274561163983139700310680170187176061923691705E-10
5_Kmimic_1,9.999999919769415E-9,0.999999613234924614875721503525100092335306969129465745982,0.352517224059930362709305393027510526067692080443137055895651,-0.712585961851237870766592442912985649990138001119169344219686,1.33511370338241231664584582388672224257581058367168106017990E-9,-2.69882779220482855497715386801115724915640234931729781965503E-9,-4.03394149837203486232372140806963409814066819402487937437708E-9,0.000171830557522162315304988364570446471211376704319142189699874,0.000171827898743764211066170401903429381631882839765855357621219,0.333304694887524830586795734703202782243756725277626046297729,0.333304694658329043676777472808936081538432407567049422773204,212563.996968598022018736792700972509711731269143438657208269,70848.5781049725441824108905236011161695671682035358209535796,0.000418571754245815634322861162881823260575356518522888273991875,0.0123437605280827241418065370687233935697053035156049957010084,0.0409126873756708510154191949735946295386445223333913837710093,0.0104070355341277593523105563246556311412698469534799033842583,0.0104074795037046606063879943077150495790959801568465837771597,28.359499437058922,-0.7125841034787412,0.000001858372496670766592442912985649990138001119169344219686,7.03834710587676204708771365782993380405074471975791869005091E-15,268.064098800757586512930521178252164796066892802659256463554,268.063910830213611386507454931478170913225485298334447363489,1.44645409170943547206078169712223310052411295274600624606298E-14,8.88187426528461736689017931014192712926556136080006738755285E-15,1.27021743261106382865128024587833207891436226525033756232577E-16,1.70925648934153403921004146224030596686417656886102758596759E-14,8.15121640617355183050405518227309423402612825640725488154799E-17,1.01573140937842242606022473938550213623321446728016269634567E-10
5_Kmimic_1,9.999999919769415E-9,0.999999613234924614875721503525100092335306969129465745982,0.352517224059930362709305393027510526067692080443137055895651,-0.712585961851237870766592442912985649990138001119169344219686,1.33511370338241231664584582388672224257581058367168106017990E-9,-2.69882779220482855497715386801115724915640234931729781965503E-9,-4.03394149837203486232372140806963409814066819402487937437708E-9,0.000171830557522162315304988364570446471211376704319142189699874,0.000171827898743764211066170401903429381631882839765855357621219,0.333304694887524830586795734703202782243756725277626046297729,0.333304694658329043676777472808936081538432407567049422773204,212563.996968598022018736792700972509711731269143438657208269,70848.5781049725441824108905236011161695671682035358209535796,0.000418571754245815634322861162881823260575356518522888273991875,0.0123437605280827241418065370687233935697053035156049957010084,0.0409126873756708510154191949735946295386445223333913837710093,0.0104070355341277593523105563246556311412698469534799033842583,0.0104074795037046606063879943077150495790959801568465837771597,24.203048208023734,-0.7125841034787412,0.000001858372496670766592442912985649990138001119169344219686,7.03834710587676204708771365782993380405074471975791869005091E-15,195.245800293453579676273383790453595018027282405693606445697,195.245612372982848292972947732456456448151476464719131376172,1.44645409170943547206078169712223310052411295274600624606298E-14,8.88187426528461736689017931014192712926556136080006738755285E-15,1.27021743261106382865128024587833207891436226525033756232577E-16,1.70925648934153403921004146224030596686417656886102758596759E-14,8.15121640617355183050405518227309423402612825640725488154799E-17,1.01583815148330761382493656113677887962897656886623712189127E-10
5_Kmimic_1,9.999999919769415E-9,0.999999613234924614875721503525100092335306969129465745982,0.352517224059930362709305393027510526067692080443137055895651,-0.712585961851237870766592442912985649990138001119169344219686,1.33511370338241231664584582388672224257581058367168106017990E-9,-2.69882779220482855497715386801115724915640234931729781965503E-9,-4.03394149837203486232372140806963409814066819402487937437708E-9,0.000171830557522162315304988364570446471211376704319142189699874,0.000171827898743764211066170401903429381631882839765855357621219,0.333304694887524830586795734703202782243756725277626046297729,0.333304694658329043676777472808936081538432407567049422773204,212563.996968598022018736792700972509711731269143438657208269,70848.5781049725441824108905236011161695671682035358209535796,0.000418571754245815634322861162881823260575356518522888273991875,0.0123437605280827241418065370687233935697053035156049957010084,0.0409126873756708510154191949735946295386445223333913837710093,0.0104070355341277593523105563246556311412698469534799033842583,0.0104074795037046606063879943077150495790959801568465837771597,33.22974864190532,-0.7125841034787412,0.000001858372496670766592442912985649990138001119169344219686,7.03834710587676204708771365782993380405074471975791869005091E-15,368.040504050686565665641046118811594306251375827493328313596,368.040316011394171374510913715946642928253748340646651121953,1.44645409170943547206078169712223310052411295274600624606298E-14,8.88187426528461736689017931014192712926556136080006738755285E-15,1.27021743261106382865128024587833207891436226525033756232577E-16,1.70925648934153403921004146224030596686417656886102758596759E-14,8.15121640617355183050405518227309423402612825640725488154799E-17,1.01558553906423744959338924953722508589039293817093719080180E-10
5_Kmimic_1,9.999999919769415E-9,0.999999613234924614875721503525100092335306969129465745982,0.352517224059930362709305393027510526067692080443137055895651,-0.712585961851237870766592442912985649990138001119169344219686,1.33511370338241231664584582388672224257581058367168106017990E-9,-2.69882779220482855497715386801115724915640234931729781965503E-9,-4.03394149837203486232372140806963409814066819402487937437708E-9,0.000171830557522162315304988364570446471211376704319142189699874,0.000171827898743764211066170401903429381631882839765855357621219,0.333304694887524830586795734703202782243756725277626046297729,0.333304694658329043676777472808936081538432407567049422773204,212563.996968598022018736792700972509711731269143438657208269,70848.5781049725441824108905236011161695671682035358209535796,0.000418571754245815634322861162881823260575356518522888273991875,0.0123437605280827241418065370687233935697053035156049957010084,0.0409126873756708510154191949735946295386445223333913837710093,0.0104070355341277593523105563246556311412698469534799033842583,0.0104074795037046606063879943077150495790959801568465837771597,26.1989757820904,-0.7125841034787412,0.000001858372496670766592442912985649990138001119169344219686,7.03834710587676204708771365782993380405074471975791869005091E-15,228.775849124019058751302864155156735272181754212087257357498,228.775661180491508653084199447008154317632116238227427209246,1.44645409170943547206078169712223310052411295274600624606298E-14,8.88187426528461736689017931014192712926556136080006738755285E-15,1.27021743261106382865128024587833207891436226525033756232577E-16,1.70925648934153403921004146224030596686417656886102758596759E-14,8.15121640617355183050405518227309423402612825640725488154799E-17,1.01578890195565920875744830508131295589516343495637184350776E-10
5_Kmimic_1,9.999999919769415E-9,0.999999613234924614875721503525100092335306969129465745982,0.352517224059930362709305393027510526067692080443137055895651,-0.712585961851237870766592442912985649990138001119169344219686,1.33511370338241231664584582388672224257581058367168106017990E-9,-2.69882779220482855497715386801115724915640234931729781965503E-9,-4.03394149837203486232372140806963409814066819402487937437708E-9,0.000171830557522162315304988364570446471211376704319142189699874,0.000171827898743764211066170401903429381631882839765855357621219,0.333304694887524830586795734703202782243756725277626046297729,0.333304694658329043676777472808936081538432407567049422773204,212563.996968598022018736792700972509711731269143438657208269,70848.5781049725441824108905236011161695671682035358209535796,0.000418571754245815634322861162881823260575356518522888273991875,0.0123437605280827241418065370687233935697053035156049957010084,0.0409126873756708510154191949735946295386445223333913837710093,0.0104070355341277593523105563246556311412698469534799033842583,0.0104074795037046606063879943077150495790959801568465837771597,17.62840727062246,-0.7125841034787412,0.000001858372496670766592442912985649990138001119169344219686,7.03834710587676204708771365782993380405074471975791869005091E-15,103.578076746556199474975279764936435440772845018209497474551,103.577888889120451861318490187761615051470149720791273993925,1.44645409170943547206078169712223310052411295274600624606298E-14,8.88187426528461736689017931014192712926556136080006738755285E-15,1.27021743261106382865128024587833207891436226525033756232577E-16,1.70925648934153403921004146224030596686417656886102758596759E-14,8.15121640617355183050405518227309423402612825640725488154799E-17,1.01597357102382732145521590883643437304564876837256516138094E-10
5_Kmimic_1,9.999999919769415E-9,0.999999613234924614875721503525100092335306969129465745982,0.352517224059930362709305393027510526067692080443137055895651,-0.712585961851237870766592442912985649990138001119169344219686,1.33511370338241231664584582388672224257581058367168106017990E-9,-2.69882779220482855497715386801115724915640234931729781965503E-9,-4.03394149837203486232372140806963409814066819402487937437708E-9,0.000171830557522162315304988364570446471211376704319142189699874,0.000171827898743764211066170401903429381631882839765855357621219,0.333304694887524830586795734703202782243756725277626046297729,0.333304694658329043676777472808936081538432407567049422773204,212563.996968598022018736792700972509711731269143438657208269,70848.5781049725441824108905236011161695671682035358209535796,0.000418571754245815634322861162881823260575356518522888273991875,0.0123437605280827241418065370687233935697053035156049957010084,0.0409126873756708510154191949735946295386445223333913837710093,0.0104070355341277593523105563246556311412698469534799033842583,0.0104074795037046606063879943077150495790959801568465837771597,16.28541491660971,-0.7125841034787412,0.000001858372496670766592442912985649990138001119169344219686,7.03834710587676204708771365782993380405074471975791869005091E-15,88.3973798157202233161621378495042646180450204403729792438633,88.3971919687234279053225739512165425855212155598183838967690,1.44645409170943547206078169712223310052411295274600624606298E-14,8.88187426528461736689017931014192712926556136080006738755285E-15,1.27021743261106382865128024587833207891436226525033756232577E-16,1.70925648934153403921004146224030596686417656886102758596759E-14,8.15121640617355183050405518227309423402612825640725488154799E-17,1.01599597864996165170178197753510996468255476016212609225191E-10
