model,nodes,a,theta,C_exact,C_table,C_error_over_exact_AH2
5_Kmimic_1,1000,1E-8,0,0.352517218602380513142800987963302449617996839486918156253174,0.352517218602380513142800987963302449617996839486918156253174,0E-9
5_Kmimic_1,1000,1.032675384295327E-8,0.549984568537987502547452549809920639578382143211653244519,0.331300077200515322824113263032249167060896165086405183421478,-578665.117435432789498779708913885543031982545877560667855545,-0.00249240067069057374614900185048145530599044119028496749503880
5_Kmimic_1,1000,0.000001,0,0.0000385941195073605809486525994150196882513703140429087799558017,0.0000385941195073605809486525994150196882513703140429087799558017,0.00000
5_Kmimic_1,1000,0.02,0.414329518701912668725017314418725971269076842294048085458,-8.36363095775351523567147235843432425955431452328350524588529E-12,-8.37853369220964890809656385241102196105672021625157697427837E-12,-0.000763556173904457517063328439747334455034268985511901316929818
5_Kmimic_1,1999,1E-8,0,0.352517218602380513142800987963302449617996839486918156253174,0.352517218602380513142800987963302449617996839486918156253174,0E-9
5_Kmimic_1,1999,1.032675384295327E-8,0.099969137075975005094905099619841279156764286423306489038,0.331300077200515322824113263032249167060896165086405183421478,-51566.4264341605414615097873020621284063463975614035085085081,-0.000222105919479041293112652847824441722131765713286006726806042
5_Kmimic_1,1999,0.000001,0,0.0000385941195073605809486525994150196882513703140429087799558017,0.0000385941195073605809486525994150196882513703140429087799558017,0.00000
5_Kmimic_1,1999,0.02,0.82865903740382533745003462883745194253815368458809617091,-8.36363095775351523567147235843432425955431452328350524588529E-12,-8.36584096691569936382865551026866099700384788788252583951837E-12,-0.000113231980690401467829775707170199298211401454449811468148481
5_Kmimic_1,2000,1E-8,0.111111111111111111111111111111111111111111111111111111111,0.352517218602380513142800987963302449617996839486918156253174,-64336.8167826893349409310518582744351433328011907144823375921,-0.000243668772085409180342241717672661642810370170215166213159849
5_Kmimic_1,2000,1.032675384295327E-8,0.212631784291728746338696343413444803320506410690785621414,0.331300077200515322824113263032249167060896165086405183421478,-96277.1340880307031709789829965266897578817251357021177028893,-0.000414681781727368740332157182495912727297499035595614740297837
5_Kmimic_1,2000,0.000001,0.333333333333333333333333333333333333333333333333333333333,0.0000385941195073605809486525994150196882513703140429087799558017,-0.00143942386665667252622692871282225358016603152992100958573190,-0.000548541878159677105685738016390261653464132166709052910920693
5_Kmimic_1,2000,0.02,0.63988459247760102580711672825128450106795256030610823106,-8.36363095775351523567147235843432425955431452328350524588529E-12,-8.36719548424613814874422279080661873610425230025362540029053E-12,-0.000182632000757956346191003875438437300818417431777314556104242
5_Kmimic_1,3997,1E-8,0,0.352517218602380513142800987963302449617996839486918156253174,0.352517218602380513142800987963302449617996839486918156253174,0E-9
