rule atol=1e-10 rtol=1e-08
field         variant   max|ref|   max|err|(1st)  |r|@worst(1st)
Eta          0.00e+00   3.92e+00   0.00e+00   0.00e+00
PH           0.00e+00   3.77e+01   0.00e+00   7.38e-01
PHL          0.00e+00   1.01e+01   0.00e+00   0.00e+00
S            0.00e+00   3.47e+01   0.00e+00   0.00e+00
T            1.97e-08   2.67e+01   1.11e-16   5.54e-01
U            0.00e+00   3.86e-01   0.00e+00   0.00e+00
V            0.00e+00   2.33e-02   0.00e+00   0.00e+00
W            0.00e+00   1.12e-06   0.00e+00   0.00e+00
