VARIABLES = "Lon", "Lat"
ZONE T="Australia", I=80
131.387	-11.902
132.699	-11.457
133.648	-11.693
134.887	-11.865
136.190	-11.877
136.224	-12.587
136.004	-13.625
135.993	-14.575
136.618	-15.504
137.839	-16.150
139.352	-17.005
140.385	-17.525
141.299	-16.086
141.629	-14.520
141.858	-13.056
141.750	-11.527
142.765	-11.035
143.594	-13.177
143.539	-13.876
144.936	-14.224
145.551	-15.997
145.995	-16.800
146.324	-18.236
148.105	-19.676
149.539	-21.369
150.614	-22.300
151.176	-23.329
152.620	-24.832
153.000	-25.982
153.208	-26.921
153.375	-28.422
153.134	-29.530
152.970	-30.712
152.751	-31.808
151.415	-33.167
151.142	-33.930
150.253	-35.242
150.191	-37.417
148.121	-37.725
146.256	-38.895
145.185	-37.980
143.561	-38.667
141.657	-38.146
140.157	-37.545
139.878	-36.013
139.169	-35.375
138.218	-34.611
137.750	-32.699
135.851	-34.279
134.858	-33.078
133.806	-32.124
131.592	-31.339
129.329	-31.602
126.150	-32.027
123.712	-33.407
121.011	-33.681
118.686	-34.224
115.942	-34.338
115.216	-33.748
115.776	-32.495
115.938	-31.033
115.254	-30.149
114.864	-28.896
114.135	-27.430
113.751	-25.714
113.530	-23.518
113.882	-21.718
115.922	-20.846
118.102	-20.280
120.225	-19.507
121.598	-19.203
122.109	-16.789
123.589	-16.929
124.264	-15.126
125.227	-14.116
126.946	-13.447
128.368	-14.693
129.787	-14.574
130.509	-12.722
131.387	-11.902



VARIABLES = "Lon", "Lat"
ZONE T="Greenland", I=60
-40.685	64.320
-40.038	65.659
-37.825	66.076
-35.534	66.303
-33.583	67.340
-32.024	68.389
-30.105	68.509
-27.928	68.699
-25.843	69.090
-23.482	69.800
-21.850	70.794
-21.839	72.459
-21.106	73.986
-19.263	75.241
-19.806	76.713
-18.519	77.235
-18.879	78.781
-17.509	80.193
-15.332	80.678
-12.796	81.144
-12.184	82.125
-16.639	82.005
-19.598	81.912
-22.694	82.135
-25.157	82.662
-25.511	83.548
-27.313	83.604
-29.771	83.782
-36.263	83.781
-43.972	83.495
-46.686	83.191
-48.998	82.730
-51.490	82.459
-53.956	82.451
-59.358	82.658
-61.633	81.387
-64.325	81.318
-65.958	79.803
-67.743	79.069
-71.541	78.525
-70.586	77.419
-68.790	76.319
-65.623	76.219
-61.712	76.242
-57.754	75.326
-56.065	73.947
-55.827	71.787
-53.607	71.405
-54.460	70.144
-52.305	69.184
