TITLE = "GCR Shielding Simulation Spectra – Geant4/FTFP_BERT"
# Differential spectra: counts / (MeV * event)
# Shield: G4_Al
# phi = 550 MV (Badhwar-O'Neill, solar minimum)
VARIABLES = "Energy [MeV]" "Input_Proton [1/(MeV evt)]" "Input_Alpha [1/(MeV evt)]" "Output_Proton [1/(MeV evt)]" "Output_Alpha [1/(MeV evt)]" "Output_Neutron [1/(MeV evt)]"
ZONE T="G4_Al_2.00mm | GCR phi=550MV | 50000000 events", I=120, DATAPACKING=POINT
  1.04914e+00  2.74792e-03  1.56712e-04  0.00000e+00  0.00000e+00  0.00000e+00
  1.15478e+00  2.25239e-03  1.21985e-04  0.00000e+00  0.00000e+00  0.00000e+00
  1.27106e+00  2.21356e-03  1.30662e-04  0.00000e+00  0.00000e+00  0.00000e+00
  1.39905e+00  2.22881e-03  1.32263e-04  0.00000e+00  0.00000e+00  0.00000e+00
  1.53993e+00  2.19853e-03  1.32883e-04  0.00000e+00  0.00000e+00  0.00000e+00
  1.69499e+00  2.18427e-03  1.30070e-04  0.00000e+00  0.00000e+00  0.00000e+00
  1.86566e+00  2.75390e-03  1.68433e-04  0.00000e+00  0.00000e+00  0.00000e+00
  2.05353e+00  2.25975e-03  1.34353e-04  0.00000e+00  0.00000e+00  0.00000e+00
  2.26030e+00  2.21233e-03  1.31742e-04  0.00000e+00  0.00000e+00  0.00000e+00
  2.48790e+00  2.21590e-03  1.31919e-04  0.00000e+00  0.00000e+00  0.00000e+00
  2.73842e+00  2.19931e-03  1.24949e-04  0.00000e+00  0.00000e+00  0.00000e+00
  3.01416e+00  2.19535e-03  1.29765e-04  0.00000e+00  0.00000e+00  0.00000e+00
  3.31767e+00  2.72066e-03  1.61672e-04  0.00000e+00  0.00000e+00  0.00000e+00
  3.65174e+00  2.19758e-03  1.30676e-04  0.00000e+00  0.00000e+00  0.00000e+00
  4.01945e+00  2.19183e-03  1.37696e-04  0.00000e+00  0.00000e+00  0.00000e+00
  4.42419e+00  2.17190e-03  1.28867e-04  0.00000e+00  0.00000e+00  0.00000e+00
  4.86968e+00  2.15174e-03  1.29873e-04  0.00000e+00  0.00000e+00  0.00000e+00
  5.36002e+00  2.17085e-03  1.28138e-04  0.00000e+00  0.00000e+00  0.00000e+00
  5.89975e+00  2.72398e-03  1.56222e-04  0.00000e+00  0.00000e+00  0.00000e+00
  6.49382e+00  2.17754e-03  1.31084e-04  0.00000e+00  0.00000e+00  0.00000e+00
