# BON2020_LIS spectra tabulated for shieldSim
# Source model: Badhwar-O'Neill 2020 LIS parameters (Z=1 and Z=2)
# Energy column: total kinetic energy [MeV]
# Flux columns: differential flux [particles / (m^2 sr s MeV)]
# NOTE:
#   proton flux is tabulated directly versus total kinetic energy (same as MeV/n for A=1)
#   alpha flux is converted from BON2020's MeV/n representation to total kinetic energy:
#       E_total = 4*T_n,  flux_per_MeV(total) = flux_per_MeV_per_nucleon / 4
# Columns:
#   E_MeV_total   proton_flux   alpha_flux
7.34059837e+01 0.00000000e+00 1.92113534e-12
7.47734631e+01 0.00000000e+00 1.88445921e-12
7.61664172e+01 0.00000000e+00 1.84846805e-12
7.75853206e+01 0.00000000e+00 1.81314910e-12
7.90306568e+01 0.00000000e+00 1.77848982e-12
8.05029181e+01 0.00000000e+00 1.74447794e-12
8.20026062e+01 0.00000000e+00 1.71110137e-12
8.35302320e+01 0.00000000e+00 1.67834830e-12
8.50863158e+01 0.00000000e+00 1.64620709e-12
8.66713880e+01 0.00000000e+00 1.61466634e-12
8.82859884e+01 0.00000000e+00 1.58371488e-12
8.99306672e+01 0.00000000e+00 1.55334172e-12
9.16059848e+01 0.00000000e+00 1.52353609e-12
9.33125118e+01 0.00000000e+00 1.49428741e-12
9.50508296e+01 0.00000000e+00 1.46558532e-12
9.68215306e+01 0.00000000e+00 1.43741962e-12
9.86252179e+01 0.00000000e+00 1.40978033e-12
1.00462506e+02 0.00000000e+00 1.38265765e-12
1.02334021e+02 0.00000000e+00 1.35604194e-12
1.04240401e+02 0.00000000e+00 1.32992377e-12
1.06182294e+02 0.00000000e+00 1.30429388e-12
1.08160363e+02 0.00000000e+00 1.27914316e-12
1.10175281e+02 0.00000000e+00 1.25446270e-12
1.12227736e+02 0.00000000e+00 1.23024375e-12
1.14318425e+02 0.00000000e+00 1.20647770e-12
1.16448062e+02 0.00000000e+00 1.18315612e-12
1.18617372e+02 0.00000000e+00 1.16027075e-12
1.20827094e+02 0.00000000e+00 1.13781345e-12
1.23077980e+02 0.00000000e+00 1.11577627e-12
1.25370799e+02 0.00000000e+00 1.09415138e-12
1.27706330e+02 0.00000000e+00 1.07293111e-12
1.30085370e+02 0.00000000e+00 1.05210792e-12
1.32508729e+02 0.00000000e+00 1.03167443e-12
1.34977233e+02 0.00000000e+00 1.01162339e-12
1.37491723e+02 0.00000000e+00 9.91947679e-13
1.40053055e+02 0.00000000e+00 9.72640313e-13
1.42662102e+02 0.00000000e+00 9.53694441e-13
1.45319752e+02 0.00000000e+00 9.35103338e-13
1.48026913e+02 0.00000000e+00 9.16860405e-13
1.50784505e+02 0.00000000e+00 8.98959167e-13
1.53593468e+02 0.00000000e+00 8.81393268e-13
1.56454759e+02 0.00000000e+00 8.64156473e-13
1.59369353e+02 0.00000000e+00 8.47242663e-13
1.62338243e+02 0.00000000e+00 8.30645833e-13
1.65362441e+02 0.00000000e+00 8.14360089e-13
1.68442976e+02 0.00000000e+00 7.98379650e-13
1.71580899e+02 0.00000000e+00 7.82698840e-13
1.74777277e+02 0.00000000e+00 7.67312092e-13
1.78033202e+02 0.00000000e+00 7.52213941e-13
1.81349780e+02 0.00000000e+00 7.37399026e-13
1.84728144e+02 0.00000000e+00 7.22862084e-13
1.88169442e+02 0.00000000e+00 7.08597952e-13
1.91674849e+02 0.00000000e+00 6.94601563e-13
1.95245558e+02 0.00000000e+00 6.80867945e-13
1.98882786e+02 0.00000000e+00 6.67392220e-13
2.02587771e+02 0.00000000e+00 6.54169599e-13
2.06361777e+02 0.00000000e+00 6.41195384e-13
2.10206088e+02 0.00000000e+00 6.28464965e-13
2.14122015e+02 0.00000000e+00 6.15973818e-13
2.18110892e+02 0.00000000e+00 6.03717503e-13
2.22174078e+02 0.00000000e+00 5.91691664e-13
2.26312957e+02 0.00000000e+00 5.79892027e-13
2.30528939e+02 0.00000000e+00 5.68314396e-13
2.34823460e+02 0.00000000e+00 5.56954656e-13
2.39197984e+02 0.00000000e+00 5.45808766e-13
2.43654001e+02 0.00000000e+00 5.34872764e-13
2.48193029e+02 0.00000000e+00 5.24142759e-13
2.52816614e+02 0.00000000e+00 5.13614936e-13
2.57526333e+02 0.00000000e+00 5.03285549e-13
2.62323788e+02 0.00000000e+00 4.93150923e-13
2.67210616e+02 0.00000000e+00 4.83207452e-13
2.72188479e+02 0.00000000e+00 4.73451598e-13
2.77259076e+02 0.00000000e+00 4.63879887e-13
2.82424133e+02 0.00000000e+00 4.54488912e-13
2.87685409e+02 0.00000000e+00 4.45275330e-13
2.93044698e+02 0.00000000e+00 4.36235860e-13
2.98503825e+02 0.00000000e+00 4.27367282e-13
3.04064649e+02 0.00000000e+00 4.18666438e-13
3.09729067e+02 0.00000000e+00 4.10130227e-13
3.15499006e+02 0.00000000e+00 4.01755607e-13
3.21376434e+02 0.00000000e+00 3.93539593e-13
3.27363353e+02 0.00000000e+00 3.85479256e-13
3.33461802e+02 0.00000000e+00 3.77571723e-13
3.39673858e+02 0.00000000e+00 3.69814172e-13
3.46001639e+02 0.00000000e+00 3.62203837e-13
3.52447300e+02 0.00000000e+00 3.54738001e-13
3.59013038e+02 0.00000000e+00 3.47414000e-13
3.65701088e+02 0.00000000e+00 3.40229220e-13
3.72513730e+02 0.00000000e+00 3.33181094e-13
3.79453285e+02 0.00000000e+00 3.26267104e-13
3.86522116e+02 0.00000000e+00 3.19484781e-13
3.93722633e+02 0.00000000e+00 3.12831699e-13
4.01057288e+02 0.00000000e+00 3.06305480e-13
4.08528580e+02 0.00000000e+00 2.99903789e-13
4.16139055e+02 0.00000000e+00 2.93624337e-13
4.23891306e+02 0.00000000e+00 2.87464874e-13
4.31787973e+02 0.00000000e+00 2.81423196e-13
4.39831747e+02 0.00000000e+00 2.75497139e-13
4.48025368e+02 0.00000000e+00 2.69684577e-13
4.56371628e+02 0.00000000e+00 2.63983429e-13
4.64873371e+02 0.00000000e+00 2.58391647e-13
4.73533492e+02 0.00000000e+00 2.52907227e-13
4.82354943e+02 0.00000000e+00 2.47528198e-13
4.91340729e+02 0.00000000e+00 2.42252628e-13
5.00493910e+02 0.00000000e+00 2.37078621e-13
5.09817606e+02 0.00000000e+00 2.32004316e-13
5.19314994e+02 0.00000000e+00 2.27027887e-13
5.28989308e+02 0.00000000e+00 2.22147542e-13
5.38843844e+02 0.00000000e+00 2.17361524e-13
5.48881961e+02 0.00000000e+00 2.12668106e-13
5.59107078e+02 0.00000000e+00 2.08065595e-13
5.69522678e+02 0.00000000e+00 2.03552329e-13
5.80132310e+02 0.00000000e+00 1.99126679e-13
5.90939590e+02 0.00000000e+00 1.94787042e-13
6.01948197e+02 0.00000000e+00 1.90531850e-13
6.13161884e+02 0.00000000e+00 1.86359560e-13
6.24584471e+02 0.00000000e+00 1.82268661e-13
6.36219849e+02 0.00000000e+00 1.78257667e-13
6.48071983e+02 0.00000000e+00 1.74325123e-13
6.60144909e+02 0.00000000e+00 1.70469598e-13
6.72442742e+02 0.00000000e+00 1.66689690e-13
6.84969672e+02 0.00000000e+00 1.62984021e-13
6.97729965e+02 0.00000000e+00 1.59351239e-13
7.10727970e+02 0.00000000e+00 1.55790019e-13
7.23968114e+02 0.00000000e+00 1.52299059e-13
7.37454909e+02 0.00000000e+00 1.48877080e-13
7.51192949e+02 0.00000000e+00 1.45522829e-13
7.65186915e+02 0.00000000e+00 1.42235074e-13
7.79441575e+02 0.00000000e+00 1.39012608e-13
7.93961785e+02 0.00000000e+00 1.35854244e-13
8.08752491e+02 0.00000000e+00 1.32758817e-13
8.23818733e+02 0.00000000e+00 1.29725186e-13
8.39165644e+02 0.00000000e+00 1.26752229e-13
8.54798453e+02 0.00000000e+00 1.23838844e-13
8.70722485e+02 0.00000000e+00 1.20983950e-13
8.86943166e+02 0.00000000e+00 1.18186486e-13
9.03466021e+02 0.00000000e+00 1.15445410e-13
9.20296681e+02 0.00000000e+00 1.12759700e-13
9.37440879e+02 0.00000000e+00 1.10128351e-13
9.54904456e+02 0.00000000e+00 1.07550378e-13
9.72693362e+02 0.00000000e+00 1.05024811e-13
9.90813657e+02 0.00000000e+00 1.02550702e-13
1.00927151e+03 0.00000000e+00 1.00127116e-13
1.02807322e+03 0.00000000e+00 9.77531375e-14
1.04722519e+03 0.00000000e+00 9.54278662e-14
1.06673394e+03 0.00000000e+00 9.31504186e-14
1.08660611e+03 0.00000000e+00 9.09199267e-14
1.10684849e+03 0.00000000e+00 8.87355385e-14
1.12746796e+03 0.00000000e+00 8.65964168e-14
1.14847155e+03 0.00000000e+00 8.45017396e-14
1.16986641e+03 0.00000000e+00 8.24506994e-14
1.19165984e+03 0.00000000e+00 8.04425032e-14
1.21385926e+03 0.00000000e+00 7.84763719e-14
1.23647224e+03 0.00000000e+00 7.65515403e-14
1.25950646e+03 0.00000000e+00 7.46672565e-14
1.28296980e+03 0.00000000e+00 7.28227820e-14
1.30687023e+03 0.00000000e+00 7.10173912e-14
1.33121590e+03 0.00000000e+00 6.92503712e-14
1.35601511e+03 0.00000000e+00 6.75210216e-14
1.38127630e+03 0.00000000e+00 6.58286540e-14
1.40700809e+03 0.00000000e+00 6.41725922e-14
1.43321923e+03 0.00000000e+00 6.25521714e-14
1.45991865e+03 0.00000000e+00 6.09667385e-14
1.48711546e+03 0.00000000e+00 5.94156516e-14
1.51481892e+03 0.00000000e+00 5.78982796e-14
1.54303847e+03 0.00000000e+00 5.64140026e-14
1.57178372e+03 0.00000000e+00 5.49622108e-14
1.60106446e+03 0.00000000e+00 5.35423050e-14
1.63089068e+03 0.00000000e+00 5.21536962e-14
1.66127252e+03 0.00000000e+00 5.07958052e-14
1.69222035e+03 0.00000000e+00 4.94680626e-14
1.72374471e+03 0.00000000e+00 4.81699086e-14
1.75585633e+03 0.00000000e+00 4.69007927e-14
1.78856616e+03 0.00000000e+00 4.56601735e-14
1.82188534e+03 0.00000000e+00 4.44475189e-14
1.85582523e+03 0.00000000e+00 4.32623052e-14
1.89039738e+03 0.00000000e+00 4.21040176e-14
1.92561357e+03 0.00000000e+00 4.09721497e-14
1.96148581e+03 0.00000000e+00 3.98662036e-14
1.99802631e+03 0.00000000e+00 3.87856892e-14
2.03524752e+03 0.00000000e+00 3.77301246e-14
2.07316213e+03 0.00000000e+00 3.66990358e-14
2.11178304e+03 0.00000000e+00 3.56919563e-14
2.15112343e+03 0.00000000e+00 3.47084274e-14
2.19119669e+03 0.00000000e+00 3.37479975e-14
2.23201647e+03 0.00000000e+00 3.28102225e-14
2.27359668e+03 0.00000000e+00 3.18946654e-14
2.31595149e+03 0.00000000e+00 3.10008960e-14
2.35909533e+03 0.00000000e+00 3.01284913e-14
2.40304289e+03 0.00000000e+00 2.92770347e-14
2.44780916e+03 0.00000000e+00 2.84461166e-14
2.49340937e+03 0.00000000e+00 2.76353336e-14
2.53985907e+03 0.00000000e+00 2.68442889e-14
2.58717408e+03 0.00000000e+00 2.60725917e-14
2.63537052e+03 0.00000000e+00 2.53198578e-14
2.68446481e+03 0.00000000e+00 2.45857088e-14
2.73447368e+03 0.00000000e+00 2.38697723e-14
2.78541416e+03 0.00000000e+00 2.31716818e-14
2.83730362e+03 0.00000000e+00 2.24910766e-14
2.89015972e+03 0.00000000e+00 2.18276017e-14
2.94400048e+03 0.00000000e+00 2.11809076e-14
2.99884423e+03 0.00000000e+00 2.05506505e-14
3.05470967e+03 0.00000000e+00 1.99364918e-14
3.11161583e+03 0.00000000e+00 1.93380984e-14
3.16958209e+03 0.00000000e+00 1.87551424e-14
3.22862820e+03 0.00000000e+00 1.81873011e-14
3.28877429e+03 0.00000000e+00 1.76342569e-14
3.35004083e+03 0.00000000e+00 1.70956972e-14
3.41244871e+03 0.00000000e+00 1.65713145e-14
3.47601918e+03 0.00000000e+00 1.60608061e-14
3.54077391e+03 0.00000000e+00 1.55638741e-14
3.60673495e+03 0.00000000e+00 1.50802255e-14
3.67392478e+03 0.00000000e+00 1.46095719e-14
3.74236629e+03 0.00000000e+00 1.41516294e-14
3.81208280e+03 0.00000000e+00 1.37061191e-14
3.88309805e+03 0.00000000e+00 1.32727663e-14
3.95543624e+03 0.00000000e+00 1.28513008e-14
4.02912203e+03 0.00000000e+00 1.24414569e-14
4.10418050e+03 0.00000000e+00 1.20429734e-14
4.18063724e+03 0.00000000e+00 1.16555931e-14
4.25851829e+03 0.00000000e+00 1.12790632e-14
4.33785019e+03 0.00000000e+00 1.09131353e-14
4.41865996e+03 0.00000000e+00 1.05575650e-14
4.50097513e+03 0.00000000e+00 1.02121120e-14
4.58482375e+03 0.00000000e+00 9.87654014e-15
4.67023439e+03 0.00000000e+00 9.55061730e-15
4.75723614e+03 0.00000000e+00 9.23411533e-15
4.84585864e+03 0.00000000e+00 8.92681006e-15
4.93613210e+03 0.00000000e+00 8.62848120e-15
5.02808725e+03 0.00000000e+00 8.33891234e-15
5.12175544e+03 0.00000000e+00 8.05789090e-15
5.21716858e+03 0.00000000e+00 7.78520808e-15
5.31435916e+03 0.00000000e+00 7.52065884e-15
5.41336030e+03 0.00000000e+00 7.26404185e-15
5.51420574e+03 0.00000000e+00 7.01515945e-15
5.61692982e+03 0.00000000e+00 6.77381761e-15
5.72156756e+03 0.00000000e+00 6.53982592e-15
5.82815458e+03 0.00000000e+00 6.31299750e-15
5.93672722e+03 0.00000000e+00 6.09314902e-15
6.04732245e+03 0.00000000e+00 5.88010063e-15
6.15997796e+03 0.00000000e+00 5.67367595e-15
6.27473213e+03 0.00000000e+00 5.47370198e-15
