model,h0,orad,om,oml,ov,ophi,eps,g,nu,alpha,neff,samples,a_min,a_max,A_early,Omega_early,scalar_fraction_early,cs2_min,cs2_min_a,cs2_max,cs2_max_a,nonpositive_rho_plus_p,nonnegative_udot,nonnegative_vdot,chi_today,chi_today_paper,cs2_today,w_phi_today,no_ghost_oml_boundary,oml_above_boundary
5_Kmimic_1,70,0.0000853816882526780072937943098643167352103858926110908230523985,0.274693877551020408163265306122448979591836734693877551020408,0.288693057661254095940545792415176715413552846077666811457064,0.711221560650493226052160413274958967851236768029722097719884,0.705320740760726913829440899567686703672952879413511358156540,0.01,5.0,1.2,-0.01,3.046,1801,1E-9,1,0.99,0.02030405060708091011121314151617181920212223242526272829303,0.0199,0.00331678611830948763221255238773965770462566357455577269893927,0.0213796208950223209751941105739050082430735167509349067693677,0.333330469260053572886806375710520460883942852227454403097977,1E-9,0,0,0,0.00708897344292927939499062950994404061892287041992135936443896,0.00708897344292927939499062950994404061892287041992135936443896,0.325097423388891684672138321781537992101832976542077500923414,-0.985822053114141441210018740980111918762154259160157281271122,0.278592047560243994930444782314166614403451835976656710446963,0.010101010101010101010101010101010101010101010101010101010101
5_Kmimic_2,70,0.0000853816882526780072937943098643167352103858926110908230523985,0.274693877551020408163265306122448979591836734693877551020408,0.286929389230918998938782123984841618411789177647331714455300,0.712985229080828323053924081705294064853000436460057194721648,0.705320740760726913829440899567686703672952879413511358156540,0.01,20.0,1.2,-0.00875,3.046,1801,1E-9,1,0.99125,0.01773239680750068776447128006882415333410723401007237031465,0.0174234375,0.00308306402543084686185230630759755231405500120143313565246528,0.0229086765276777304572408491987464816848215378529995255983106,0.333330472865394789288124868998857850277083376294554282248644,1E-9,0,0,0,0.00708897344292927939499062950994404061892287041992135936443896,0.00708897344292927939499062950994404061892287041992135936443896,0.141193032894293882756257258556592904011206058864568539428904,-0.985822053114141441210018740980111918762154259160157281271122,0.276828379129908897928681113883831517401688167546321613445199,0.010101010101010101010101010101010101010101010101010101010101
5_Kmimic_3,70,0.0000853816882526780072937943098643167352103858926110908230523985,0.274693877551020408163265306122448979591836734693877551020408,0.276081183688070593438491300259566142601195988975153964216834,0.723833434623676728554214905430569540663593625132234944960114,0.723221740760726913829440899567686703672952879413511358156540,0.001,5.0,1.2,-0.001,3.046,1801,1E-9,1,0.999,0.00200300400500600700800901001101201301401501601701801902002,0.001999,0.00326194535233521103846040718813851983578274104206444184886214,0.0218776162394955256222611491638418731671180562469229395342052,0.333330497006342850830764997636835717724849678832461122302506,1E-9,0,0,0,0.000691350898099482967582761055189137226404284791926943596610725,0.000691350898099482967582761055189137226404284791926943596610033,0.318840207949092617300678091220669467842116159883705417708847,-0.998617298203801034064834477889621725547191430416146112806779,0.275080182687069592437490299258565141600194987974152963215833,0.001001001001001001001001001001001001001001001001001001001001
