model,a,function,first_analytic_vs_stencil,first_source_vs_analytic,second_source_vs_stencil
5_Kmimic_2,0.0000316227766016837933199889354443271853371955513932521682685750,v,8.53332070012038680376403096241097051310874828915294106761192E-24,4.41259364987425183400302817653739499241100337378855664946410E-58,2.84444178122872884462019729988272031406822917575551638305524E-24
5_Kmimic_2,0.0001,u,5.83939013162822935049059185703172871987874822111789899078775E-24,9.20452399894508244326212163087241203157277728514793803946496E-59,2.08304873409063559600968768795908642548154122584153926384771E-24
5_Kmimic_2,0.0001,v,8.53325364844993712511466467793570625903686337051304515575010E-24,5.59265515980271784171575356836955987008534189096062376033774E-58,2.84442943325279572936511956802956275754398192701187890677129E-24
5_Kmimic_2,0.000316227766016837933199889354443271853371955513932521682685750,u,4.27088840291878361502785028608068408330939274601085521669314E-24,6.44784841255046726847827183389813418374475527569021003379430E-59,1.54064833871175547520082999666690722852390336653333983696081E-24
5_Kmimic_2,0.000316227766016837933199889354443271853371955513932521682685750,v,8.53264614618181184015246559341887321035467915234177845889086E-24,2.00088619522786204432816034217129733053811333519406715734083E-58,2.84432918562851842320258764680199010071138503670634480680945E-24
5_Kmimic_2,0.001,u,3.30912766970362332431704168464661209355302370402805032103240E-24,3.74901739443196343131576561703611535019182200708302096370133E-59,1.16155815130215701742325495830591270952048740367985820223727E-24
5_Kmimic_2,0.001,v,8.52594630961453920511252745992776018371875288752643033928552E-24,1.28155130103652316576944079095431664773745561852521498600964E-58,2.84328735687313676483424985342286104401828232339138574396678E-24
5_Kmimic_2,0.00316227766016837933199889354443271853371955513932521682685750,u,2.90834001200498877714496870280363967493895163500268935762140E-24,7.29737941534650623265834666394296237862349292953199740770490E-59,9.91276135076123192276877691813981145016968699776830542815994E-25
5_Kmimic_2,0.00316227766016837933199889354443271853371955513932521682685750,v,8.44621651065863426534875324420188558659051547982272639696574E-24,2.28417025509062073646753659721984658885817756157915766815750E-58,2.83110676108790227909848919018133426002742750948857538623373E-24
5_Kmimic_2,0.01,u,2.77099914208097132109801103227075752420191641435151538991463E-24,2.17059440033925703836024038451545717572867955590789869677108E-59,9.30520528239570540847347186109977475466834275352571351613633E-25
5_Kmimic_2,0.01,v,7.57319623245147649175060344616111037891128759989476704500833E-24,2.49016837359585322280275727464928533679566683585240858761944E-58,2.68972715541024900715621866096982125145943272927330267088424E-24
5_Kmimic_2,0.0316227766016837933199889354443271853371955513932521682685750,u,2.73631050498738527940133829686168520710611085121038425339214E-24,4.42344746177953186258463417083231864848216334442426026149611E-59,9.12492996032618079214406266016161820762828862345589543050407E-25
5_Kmimic_2,0.0316227766016837933199889354443271853371955513932521682685750,v,3.42751990954457654165482070055283783780508468675192793427602E-24,5.58841345757321930668812423799714999338316991942049435881228E-59,1.67615472001258682487299679347333546214002150671174250994880E-24
