check,file,files,values,values_failing,bulk_values,bulk_failing,near_zero_values,near_zero_failing,rtol,atol,max_relative_error_above_atol,max_absolute_error_below_atol,bulk_margin,near_zero_margin,review_flags
designer-fr,4_Des_F_R_wCDM_2_lenspotentialCls.dat,1,27992,0,13946,0,14046,0,0.0001,0.1,9.75352833892316e-06,5.000000000005e-07,10.252699999951046,199999.9999998,bulk: below 50; near-zero: above 10000
designer-fr,4_Des_F_R_wCDM_2_matterpower.dat,1,1310,0,759,0,551,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-fr,4_Des_F_R_wCDM_2_scalCls.dat,1,20994,0,9531,0,11463,0,0.0001,100.0,9.634468273605064e-06,0.00010000000000331966,10.37940000009794,999999.9999668035,bulk: below 50; near-zero: above 10000
designer-fr,4_Des_F_R_wCDM_2_scalarCovCls.dat,1,90974,0,17442,0,73532,0,0.0001,0.1,9.879860891403995e-06,5.000000000005e-07,10.121600000158436,199999.9999998,bulk: below 50; near-zero: above 10000
designer-fr,4_Des_F_R_wCDM_2_tensCls.dat,1,17495,0,6808,0,10687,0,0.0001,0.01,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-fr,4_Des_F_R_wCDM_2_totCls.dat,1,17495,0,13946,0,3549,0,0.0001,0.1,9.75352833892316e-06,5.000000000005e-07,10.252699999951046,199999.9999998,bulk: below 50; near-zero: above 10000
designer-fr,4_Des_F_R_wCDM_2_transfer_out.dat,1,3289,0,2049,0,1240,0,0.0001,1000.0,0.0,1.3229999999999914e-09,,755857898715.0465,bulk: no measured spread; near-zero: above 10000
designer-mc5e,4_Des_mc5e_CPL_1_lensedCls.dat,1,16995,0,13545,0,3450,0,0.0001,0.1,9.345008363827107e-06,3.000000000016878e-07,10.700899999948906,333333.33333145804,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_CPL_1_lensedtotCls.dat,1,16995,0,13554,0,3441,0,0.0001,0.1,9.530617107503216e-06,3.000000000016878e-07,10.4924999999499,333333.33333145804,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_CPL_1_lenspotentialCls.dat,1,27992,0,13947,0,14045,0,0.0001,0.1,8.696559641062992e-06,2.999999999947489e-07,11.49879999992467,333333.3333391679,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_CPL_1_matterpower.dat,1,1310,0,725,0,585,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-mc5e,4_Des_mc5e_CPL_1_scalCls.dat,1,20994,0,9521,0,11473,0,0.0001,100.0,9.816914543805771e-06,0.00010000000000331966,10.18649999995136,999999.9999668035,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_CPL_1_scalarCovCls.dat,1,90974,0,17425,0,73549,0,0.0001,0.1,9.7439295317491e-06,2.0000000000575113e-07,10.262800000160649,499999.9999856222,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_CPL_1_tensCls.dat,1,17495,0,6810,0,10685,0,0.0001,0.01,1.7960253958507425e-06,0.0,55.678499998398934,,near-zero: no measured spread
designer-mc5e,4_Des_mc5e_CPL_1_totCls.dat,1,17495,0,13947,0,3548,0,0.0001,0.1,8.696559641062992e-06,2.999999999947489e-07,11.49879999992467,333333.3333391679,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_CPL_1_transfer_out.dat,1,3289,0,1988,0,1301,0,0.0001,1000.0,0.0,1.0000000000540735e-13,,9999999999459266.0,bulk: no measured spread; near-zero: above 10000
designer-mc5e,4_Des_mc5e_CPL_2_lensedCls.dat,1,16995,0,13547,0,3448,0,0.0001,0.1,9.739374342569534e-06,9.999999999593667e-08,10.26760000002393,1000000.0000406334,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_CPL_2_lensedtotCls.dat,1,16995,0,13556,0,3439,0,0.0001,0.1,7.01218015697853e-06,1.0000000000287557e-07,14.260899999906576,999999.9999712444,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_CPL_2_lenspotentialCls.dat,1,27992,0,13945,0,14047,0,0.0001,0.1,8.83119176930869e-06,1.0000000000287557e-07,11.323500000026389,999999.9999712444,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_CPL_2_matterpower.dat,1,1312,0,724,0,588,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-mc5e,4_Des_mc5e_CPL_2_scalCls.dat,1,20994,0,9482,0,11512,0,0.0001,100.0,0.0,0.00010000000000331966,,999999.9999668035,bulk: no measured spread; near-zero: above 10000
designer-mc5e,4_Des_mc5e_CPL_2_scalarCovCls.dat,1,90974,0,17420,0,73554,0,0.0001,0.1,4.533317617853904e-06,9.999999999940612e-08,22.058899999894674,1000000.0000059388,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_CPL_2_tensCls.dat,1,17495,0,6765,0,10730,0,0.0001,0.01,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-mc5e,4_Des_mc5e_CPL_2_totCls.dat,1,17495,0,13945,0,3550,0,0.0001,0.1,8.83119176930869e-06,1.0000000000287557e-07,11.323500000026389,999999.9999712444,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_CPL_2_transfer_out.dat,1,3315,0,1996,0,1319,0,0.0001,1000.0,0.0,9.999999999746641e-13,,1000000000025335.9,bulk: no measured spread; near-zero: above 10000
designer-mc5e,4_Des_mc5e_taylor_1_lensedCls.dat,1,16995,0,13547,0,3448,0,0.0001,0.1,7.479599392639097e-06,1.9999999999881224e-07,13.36970000003116,500000.0000029694,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_taylor_1_lensedtotCls.dat,1,16995,0,13555,0,3440,0,0.0001,0.1,6.988755093038986e-06,1.9999999999881224e-07,14.30870000003335,500000.0000029694,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_taylor_1_lenspotentialCls.dat,1,27992,0,13947,0,14045,0,0.0001,0.1,6.478362270024618e-06,1.9999999999187335e-07,15.435999999984563,500000.0000203167,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_taylor_1_matterpower.dat,1,1310,0,724,0,586,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
