check,file_type,files,values,values_failing,bulk_values,bulk_failing,near_zero_values,near_zero_failing,rtol,atol,max_relative_error_above_atol,max_absolute_error_below_atol,bulk_margin,near_zero_margin,review_flags
horava,totCls,7,122465,0,97629,0,24836,0,0.0001,0.1,1.4066774980848088e-05,1.4000000000003593e-06,7.10894999999289,71428.5714285531,bulk: below 50; near-zero: above 10000
horava,transfer_out,7,22997,0,13879,0,9118,0,0.0001,1000.0,1.4282429326969082e-06,0.00010000000000331966,70.01610000000001,9999999.999668034,near-zero: above 10000
horndeski-full,lensedCls,4,67980,0,54518,0,13462,0,0.0001,0.1,5.856253100365584e-05,2.9000000000001247e-06,1.7075764705893155,34482.758620688175,bulk: below 50; near-zero: above 10000
horndeski-full,lensedtotCls,4,67980,0,54625,0,13355,0,0.0001,0.1,6.090736750729172e-05,2.9000000000001247e-06,1.6418375000040544,34482.758620688175,bulk: below 50; near-zero: above 10000
horndeski-full,lenspotentialCls,4,111968,1,55773,1,56195,0,0.0001,0.1,0.00013123359580044194,2.9000000000001247e-06,0.762000000000482,34482.758620688175,bulk: below 50; near-zero: above 10000
horndeski-full,matterpower,4,5274,0,2975,0,2299,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
horndeski-full,scalCls,4,83976,0,37946,0,46030,0,0.0001,100.0,9.805940438764598e-06,0.00010000000000331966,10.197899999951305,999999.9999668035,bulk: below 50; near-zero: above 10000
horndeski-full,scalarCovCls,4,363896,2,69747,2,294149,0,0.0001,0.1,0.00011441865786925762,2.9000000000001247e-06,0.8739833333324594,34482.758620688175,bulk: below 50; near-zero: above 10000
horndeski-full,tensCls,4,69980,0,26890,0,43090,0,0.0001,0.01,1.0548623352212792e-06,9.999999999940612e-09,94.79909999727398,1000000.0000059388,near-zero: above 10000
horndeski-full,totCls,4,69980,1,55773,1,14207,0,0.0001,0.1,0.00013123359580044194,2.9000000000001247e-06,0.762000000000482,34482.758620688175,bulk: below 50; near-zero: above 10000
horndeski-full,transfer_out,4,13195,0,7921,0,5274,0,0.0001,1000.0,2.0170887759717896e-06,1.0000000000287557e-06,49.576400003426805,999999999.9712443,bulk: below 50; near-zero: above 10000
kmouflage-kmimic,lensedCls,6,101970,7804,87313,7804,14657,0,0.0001,0.1,0.006281728002843679,0.0011274000000000006,0.01591918656056597,88.69966294128078,bulk: below 50
kmouflage-kmimic,lensedtotCls,6,101970,7791,87412,7791,14558,0,0.0001,0.1,0.00635368272034242,0.0011274000000000006,0.015738903625110618,88.69966294128078,bulk: below 50
kmouflage-kmimic,lenspotentialCls,6,167952,8830,83693,8830,84259,0,0.0001,0.1,0.008886490946887206,0.0007508999999999988,0.011253035714285894,133.1735251032097,bulk: below 50
kmouflage-kmimic,matterpower,6,7846,135,4543,135,3303,0,0.0001,1.0,0.0009227698160110151,0.00013199999999990997,0.10836938775510002,7575.757575762743,bulk: below 50
kmouflage-kmimic,scalCls,6,125964,2838,60520,2838,65444,0,0.0001,100.0,0.0004427758200959844,0.07739999999999725,0.2258479245283135,1291.9896640827333,bulk: below 50
kmouflage-kmimic,scalarCovCls,6,545844,12486,107559,12486,438285,0,0.0001,0.1,0.008738296227461279,0.0007510000000000017,0.011443878462913224,133.15579227696375,bulk: below 50
kmouflage-kmimic,tensCls,6,104970,0,41218,0,63752,0,0.0001,0.01,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
kmouflage-kmimic,totCls,6,104970,8830,83693,8830,21277,0,0.0001,0.1,0.008886490946887206,0.0007508999999999988,0.011253035714285894,133.1735251032097,bulk: below 50
kmouflage-kmimic,transfer_out,6,19266,407,10666,407,8600,0,0.0001,1000.0,0.0005374510734195232,0.19400000000007367,0.18606344827586208,5154.639175255775,bulk: below 50
pure-eft-gamma,lensedCls,21,356895,0,284512,0,72383,0,0.0001,0.1,9.568370793567675e-06,1.0000000000287557e-07,10.451099999931532,999999.9999712444,bulk: below 50; near-zero: above 10000
pure-eft-gamma,lensedtotCls,21,356895,0,284680,0,72215,0,0.0001,0.1,9.840001574377319e-06,2.0000000000575113e-07,10.162600000023685,499999.9999856222,bulk: below 50; near-zero: above 10000
