rule atol=1e-10 rtol=1e-08
field         variant   max|ref|   max|err|(1st)  |r|@worst(1st)
Eta          4.63e-06   2.21e-01   1.82e-15   1.53e-02
PH           1.29e-04   3.55e+01   1.78e-14   1.77e-04
PHL          1.25e-04   1.43e-01   1.34e-14   4.40e-04
S            3.22e-05   1.20e+01   3.45e-12   1.07e+01
T            1.45e-06   1.21e+01   1.44e-13   9.91e+00
U            1.13e-05   8.90e-02   1.94e-15   1.93e-03
V            2.07e-05   5.76e-03   2.09e-15   8.86e-05
W            3.44e-08   1.72e-05   3.44e-18   9.11e-06
