model,arm,trace_rows,background_rows,max_H_residual,max_C_error_over_exact_AH2,max_A1_relative_error,max_D1_relative_error
5_Kmimic_1,stock-trace,252,40,0.0000549162347801081669006026395323001697557524105211187150160139,0.00250619871268087824743192941523136593696810982300019115652679,0.000644756693022271592719936407625908695718738718448947205923061,0.000214964532900705332787500991242259586197678257296338433362559
5_Kmimic_1,consistent-background-trace,252,40,5.42505594254596583531688157362455032940393681178876594420314E-11,1.01641804194504944696719044290390794203232881794993165899608E-13,2.50274738619481334853875714166020956242980952340916053121335E-14,1.44800587358788163088873670409501290006186762030402770655395E-14
5_Kmimic_2,stock-trace,251,40,0.0000548344503596290744324708786755906484514588146178234270192186,0.00250764209311663810082143306329708856855038971073259017431491,0.000645009384182565925134164565989397779688921599417564959280202,0.000215085570623329395295851172771617876210519372330366744283747
5_Kmimic_2,consistent-background-trace,251,40,5.81355034408677570481127805317959120434753575045847991163916E-11,9.38146583832419719127003665768936829481879161436745646218915E-14,2.93128480476802584908074927079064231881631793297548521435491E-14,1.78702572194431293245171893124498440772608982549267656713236E-14
5_Kmimic_3,stock-trace,251,40,0.0000573265354510909099552615468146038750595985066077273420903845,0.00251030119097025771497544014121173332583007291844900037343053,0.000644876051772670963226234766250167063582894808417007845288368,0.000214974506029499855901756261879390047566568855318228829007458
5_Kmimic_3,consistent-background-trace,251,40,5.78196759577192699154527834756203473864136088570486954770054E-11,1.05527946242477129072516997953007282195326721525353274615593E-12,3.34657313938624041821190114187209388402621226791962006158261E-13,1.47952029345752813234446856891266918301865334799683795194738E-13
