arm,model,values,failing,max_bound_fraction,combined_margin,bulk_margin,near_zero_margin
stock-trace,5_Kmimic_1,213524,604,1.7982220574512,0.5561048458149824,0.01724241486068128,132.18770654329023
stock-trace,5_Kmimic_2,213511,3363,2.3940492385512595,0.41770235294122116,0.011253035714285894,88.69966294128078
stock-trace,5_Kmimic_3,213511,0,0.10983071456891569,9.104921186436679,0.2695199999999168,5208.333333334148
stock-trace,5_Kmouflage_1,213446,0,0.04773998892427914,20.946800000019053,10.386300000024207,499999.9999856222
stock-trace,5_Kmouflage_2,213262,0,0.02566880060018347,38.95779999914964,10.26770000002393,500000.0000029694
stock-trace,5_Kmouflage_3,213498,0,0.008923090101837217,112.0687999994649,10.231999999989768,999999.9999712444
consistent-background-trace,5_Kmimic_1,213524,0,0.03484709096481456,28.6968000000261,10.342899999932241,999999.9999668035
consistent-background-trace,5_Kmimic_2,213511,0,0.0492351322209028,20.310700000018475,0.20507222222222796,5995.203836930521
consistent-background-trace,5_Kmimic_3,213511,0,0.04703536118449576,21.260600000019338,10.634300000024783,999999.9999668035
consistent-background-trace,5_Kmouflage_1,213446,0,0.04773998892427914,20.946800000019053,10.386300000024207,499999.9999856222
consistent-background-trace,5_Kmouflage_2,213262,0,0.02566880060018347,38.95779999914964,10.26770000002393,500000.0000029694
consistent-background-trace,5_Kmouflage_3,213498,0,0.008923090101837217,112.0687999994649,10.231999999989768,999999.9999712444
