arm,file,atol,bulk_failing,bulk_margin,bulk_values,combined_margin,files,max_absolute_error_below_atol,max_bound_fraction,max_relative_error_above_atol,near_zero_failing,near_zero_margin,near_zero_values,rtol,values,values_failing,coordinate_rows_changed
stock-trace,5_Kmimic_1_lensedCls.dat,0.1,0,0.01724241486068128,15186,1.1832176470583173,1,0.0007565000000000002,0.8451530472742459,0.005799651661788679,0,132.18770654329145,1809,0.0001,16995,0,0
stock-trace,5_Kmimic_1_lensedtotCls.dat,0.1,0,0.017553786707882674,15197,1.1832176470583173,1,0.0007565000000000072,0.8451530472742459,0.00569677652258895,0,132.18770654329023,1798,0.0001,16995,0,0
stock-trace,5_Kmimic_1_lenspotentialCls.dat,0.1,200,0.01862090878032107,13953,0.599099628252776,1,0.0007508999999999988,1.669171458036815,0.005370307173497456,0,133.1735251032097,14039,0.0001,27992,200,0
stock-trace,5_Kmimic_1_matterpower.dat,1.0,4,0.10836938775510002,730,0.5561048458149824,1,0.00013199999999990997,1.7982220574512,0.0009227698160110151,0,7575.757575762743,578,0.0001,1308,4,0
stock-trace,5_Kmimic_1_scalCls.dat,100.0,0,0.2258479245283135,10872,10.454654545454545,1,0.07739999999999725,0.0956511758138176,0.0004427758200959844,0,1291.9896640827333,10122,0.0001,20994,0,0
stock-trace,5_Kmimic_1_scalarCovCls.dat,0.1,200,0.018930157103824865,17439,0.599099628252776,1,0.0007510000000000017,1.669171458036815,0.005282576338460227,0,133.15579227696375,73535,0.0001,90974,200,0
stock-trace,5_Kmimic_1_tensCls.dat,0.01,0,,6678,,1,0.0,0.0,0.0,0,,10817,0.0001,17495,0,0
stock-trace,5_Kmimic_1_totCls.dat,0.1,200,0.01862090878032107,13953,0.599099628252776,1,0.0007508999999999988,1.669171458036815,0.005370307173497456,0,133.1735251032097,3542,0.0001,17495,200,0
stock-trace,5_Kmimic_1_transfer_out.dat,1000.0,0,0.18606344827586208,1783,2.824672351421189,1,0.19400000000007367,0.3540233611508485,0.0005374510734195232,0,5154.639175255775,1493,0.0001,3276,0,0
stock-trace,5_Kmimic_2_lensedCls.dat,0.1,623,0.01591918656056597,14304,0.7230515151511764,1,0.0011274000000000006,1.383027321076727,0.006281728002843679,0,88.69966294128078,2691,0.0001,16995,623,0
stock-trace,5_Kmimic_2_lensedtotCls.dat,0.1,623,0.015738903625110618,14313,0.7279656250001448,1,0.0011274000000000006,1.3736912371374692,0.00635368272034242,0,88.69966294128078,2682,0.0001,16995,623,0
stock-trace,5_Kmimic_2_lenspotentialCls.dat,0.1,705,0.011253035714285894,13955,0.6165674418603739,1,1.4799999999995372e-05,1.6218825907879468,0.008886490946887206,0,6756.756756758869,14037,0.0001,27992,705,0
stock-trace,5_Kmimic_2_matterpower.dat,1.0,2,0.11882525252527872,731,0.41770235294122116,1,9.199999999998099e-05,2.3940492385512595,0.000841571954401916,0,10869.56521739355,577,0.0001,1308,2,0
stock-trace,5_Kmimic_2_scalCls.dat,100.0,0,0.3442750000000497,10693,20.0994,1,0.04080000000000439,0.0497527289371822,0.00029046547091710284,0,2450.980392156599,10301,0.0001,20994,0,0
stock-trace,5_Kmimic_2_scalarCovCls.dat,0.1,705,0.011443878462913224,17443,0.6249666666665584,1,1.4899999999998248e-05,1.6000853378849644,0.008738296227461279,0,6711.409395973944,73531,0.0001,90974,705,0
stock-trace,5_Kmimic_2_tensCls.dat,0.01,0,,6681,,1,0.0,0.0,0.0,0,,10814,0.0001,17495,0,0
stock-trace,5_Kmimic_2_totCls.dat,0.1,705,0.011253035714285894,13955,0.6165674418603739,1,1.4799999999995372e-05,1.6218825907879468,0.008886490946887206,0,6756.756756758869,3540,0.0001,17495,705,0
stock-trace,5_Kmimic_2_transfer_out.dat,1000.0,0,0.20434174757281554,1777,2.5633438679245284,1,0.1740999999999957,0.3901154318439818,0.0004893762590748414,0,5743.825387708355,1486,0.0001,3263,0,0
stock-trace,5_Kmimic_3_lensedCls.dat,0.1,0,1.0349440677959063,13546,17.16899838707776,1,1.9199999999996997e-05,0.058244515926604644,9.662357910120441e-05,0,5208.333333334148,3449,0.0001,16995,0,0
stock-trace,5_Kmimic_3_lensedtotCls.dat,0.1,0,1.037788333333294,13556,17.171895161310665,1,1.9199999999996997e-05,0.05823469049898822,9.635876294620495e-05,0,5208.333333334148,3439,0.0001,16995,0,0
stock-trace,5_Kmimic_3_lenspotentialCls.dat,0.1,0,0.29126595744686123,13953,14.391922972965059,1,1.2999999999999123e-05,0.06948341801706973,0.00034332882866424264,0,7692.307692308212,14039,0.0001,27992,0,0
stock-trace,5_Kmimic_3_matterpower.dat,1.0,0,0.2695199999999168,736,9.104921186436679,1,1.2999999999985246e-05,0.10983071456891569,0.00037102997922243566,0,76923.07692316423,572,0.0001,1308,0,0
stock-trace,5_Kmimic_3_scalCls.dat,100.0,0,2.501524999996943,9653,27.807699999999997,1,0.00740000000000407,0.035961262528004835,3.997561487497515e-05,0,13513.513513506081,11341,0.0001,20994,0,0
stock-trace,5_Kmimic_3_scalarCovCls.dat,0.1,0,0.2917765957445614,17438,14.39045405404614,1,1.2999999999999123e-05,0.06949051060128514,0.00034272796879001894,0,7692.307692308212,73536,0.0001,90974,0,0
stock-trace,5_Kmimic_3_tensCls.dat,0.01,0,,6707,,1,0.0,0.0,0.0,0,,10788,0.0001,17495,0,0
stock-trace,5_Kmimic_3_totCls.dat,0.1,0,0.29126595744686123,13953,14.391922972965059,1,1.2999999999999123e-05,0.06948341801706973,0.00034332882866424264,0,7692.307692308212,3542,0.0001,17495,0,0
stock-trace,5_Kmimic_3_transfer_out.dat,1000.0,0,0.7431032258064516,1779,16.61956507936508,1,0.05600000000004002,0.06017004628127147,0.00013457080594889782,0,17857.142857130097,1484,0.0001,3263,0,0
stock-trace,5_Kmouflage_1_lensedCls.dat,0.1,0,10.45009999998955,14084,114.48190000270714,1,1.9999999999187335e-07,0.008735005271369126,9.569286418321356e-06,0,500000.0000203167,2911,0.0001,16995,0,0
stock-trace,5_Kmouflage_1_lensedtotCls.dat,0.1,0,10.946800000009958,14114,20.946800000019053,1,1.0000000000287557e-07,0.04773998892427914,9.13508970657261e-06,0,999999.9999712444,2881,0.0001,16995,0,0
stock-trace,5_Kmouflage_1_lenspotentialCls.dat,0.1,0,10.386300000024207,13951,120.84059999942302,1,1.9999999999187335e-07,0.008275364405711116,9.6280677430622e-06,0,500000.0000203167,14041,0.0001,27992,0,0
stock-trace,5_Kmouflage_1_matterpower.dat,1.0,0,,759,,1,0.0,0.0,0.0,0,,549,0.0001,1308,0,0
stock-trace,5_Kmouflage_1_scalCls.dat,100.0,0,32.76710000077484,9575,100032.76710236547,1,0.00010000000000331966,9.996724363094752e-06,3.0518416337617705e-06,0,999999.9999668035,11419,0.0001,20994,0,0
stock-trace,5_Kmouflage_1_scalarCovCls.dat,0.1,0,11.384599999824303,17435,121.46809999942,1,2.0000000000575113e-07,0.008232614159641707,8.78379565391347e-06,0,499999.9999856222,73539,0.0001,90974,0,0
stock-trace,5_Kmouflage_1_tensCls.dat,0.01,0,,6889,,1,0.0,0.0,0.0,0,,10606,0.0001,17495,0,0
stock-trace,5_Kmouflage_1_totCls.dat,0.1,0,10.386300000024207,13951,120.84059999942302,1,1.9999999999187335e-07,0.008275364405711116,9.6280677430622e-06,0,500000.0000203167,3544,0.0001,17495,0,0
