model,arm,a,k,C_recorded,C_analytic,C_error_over_exact_AH2,restoring_recorded_over_A,restoring_analytic_over_A,A1_relative_error,D1_relative_error,adotoa_relative_error,Omega_relative_error,Gamma1_relative_error
5_Kmimic_1,stock-trace,9.999999919769415E-9,30.69819274654004,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,314.099231846631843545809727630787452997925595328277028571389,314.099419848505950885165241138763041447734928147869744822964,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,22.35917722250671,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,166.629825641719548125086809148505548563469041674731646626956,166.630013542186019920822006470969723422644651626978834787903,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,19.08215077664284,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,121.365605629417337990261279211188873470684259243541713805188,121.365793498757777313907446292165216775309318793706752765696,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,20.655778634598875,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,142.208052355053426567298094059876805705281574833323314697954,142.208240238726216551214447756693376722771079939944829059441,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,26.1989757820904,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,228.775661180817877410824651161061174965782761803677865689353,228.775849124019058751302864155156735272181754212087257357498,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,33.22974864190532,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,368.040316011719762664107065148961818088298373960373056429375,368.040504050686565665641046118811594306251375827493328313596,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,24.203048208023734,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,195.245612373309404237798710679621626746152163018871538299634,195.245800293453579676273383790453595018027282405693606445697,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,28.359499437058922,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,268.063910830539760811046779164405450604927760701228317900313,268.064098800757586512930521178252164796066892802659256463554,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,17.62840727062246,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,103.577888889447519556487193814389154632312905240468963474526,103.578076746556199474975279764936435440772845018209497474551,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,16.28541491660971,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,88.3971919690505803492617263098414807878978619605007770402073,88.3973798157202233161621378495042646180450204403729792438633,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,15.04473631308208,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,75.4414224142593441031627244638340025533724287994176820010873,75.4416102520199259230085017795081968891394068118459521838522,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,13.898576848620502,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,64.3844883593197833051617899142088909852223991313444093171179,64.3846761894770420512363164554630215830208997394628523028017,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,12.839735731960912,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,54.9480909166012439109482004913326635676921538127875570563502,54.9482787402695448633886686184463592272374702189318874449712,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,11.86156075274403,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,46.8947194978610194520550574287221264634842243026200241094214,46.8949073159914032544513337205809459492602819960396979844624,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,10.957906488745937,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,40.0216737617228836647417491258195442894050836680048969321074,40.0218615751270036608237847919212763312836544689721107262957,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,10.123095697024716,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,34.1559617220270861468600245964582327890455223594595325380115,34.1561495313976373910697610840008999887244672729936197035824,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,9.351883646421598,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,29.1499456043509632092399977667960418816088130220598681524369,29.1501334102791173417301692221039085538521453388274808883611,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
