ic,file,byte_identical,comparison_status,stock_rows,repaired_rows,matched_rows,stock_only_rows,repaired_only_rows,values,values_failing,max_bound_fraction,max_relative_error_above_atol,max_absolute_error_below_atol,coordinate_rows_changed,bulk_margin,near_zero_margin,combined_margin
nominal,5_Kmouflage_1_scalarCovCls.dat,True,matched coordinates,3499,3499,3499,0,0,90974,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_1_tensCls.dat,True,matched coordinates,3499,3499,3499,0,0,17495,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_1_totCls.dat,True,matched coordinates,3499,3499,3499,0,0,17495,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_1_transfer_out.dat,True,matched coordinates,246,246,246,0,0,3198,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_2_lensedCls.dat,True,matched coordinates,3399,3399,3399,0,0,16995,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_2_lensedtotCls.dat,True,matched coordinates,3399,3399,3399,0,0,16995,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_2_lenspotentialCls.dat,True,matched coordinates,3499,3499,3499,0,0,27992,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_2_matterpower.dat,True,matched coordinates,653,653,653,0,0,1306,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_2_scalCls.dat,True,matched coordinates,3499,3499,3499,0,0,20994,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_2_scalarCovCls.dat,True,matched coordinates,3499,3499,3499,0,0,90974,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_2_tensCls.dat,True,matched coordinates,3499,3499,3499,0,0,17495,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_2_totCls.dat,True,matched coordinates,3499,3499,3499,0,0,17495,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_2_transfer_out.dat,True,matched coordinates,232,232,232,0,0,3016,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_3_lensedCls.dat,True,matched coordinates,3399,3399,3399,0,0,16995,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_3_lensedtotCls.dat,True,matched coordinates,3399,3399,3399,0,0,16995,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_3_lenspotentialCls.dat,True,matched coordinates,3499,3499,3499,0,0,27992,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_3_matterpower.dat,True,matched coordinates,654,654,654,0,0,1308,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_3_scalCls.dat,True,matched coordinates,3499,3499,3499,0,0,20994,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_3_scalarCovCls.dat,True,matched coordinates,3499,3499,3499,0,0,90974,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_3_tensCls.dat,True,matched coordinates,3499,3499,3499,0,0,17495,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_3_totCls.dat,True,matched coordinates,3499,3499,3499,0,0,17495,0,0.0,0.0,0.0,0,,,
nominal,5_Kmouflage_3_transfer_out.dat,True,matched coordinates,250,250,250,0,0,3250,0,0.0,0.0,0.0,0,,,
variant,5_Kmimic_1_lensedCls.dat,False,matched coordinates,3399,3399,3399,0,0,16995,11091,6532.115450190245,41.5604117753296,6.1137823,0,2.40613592908048e-06,0.016356486883741347,0.00015308976205723302
variant,5_Kmimic_1_lensedtotCls.dat,False,matched coordinates,3399,3399,3399,0,0,16995,11091,6532.114099737673,40.75592866124719,6.1137859,0,2.4536307547099297e-06,0.016356477252499144,0.00015308979370708782
variant,5_Kmimic_1_lenspotentialCls.dat,False,matched coordinates,3499,3499,3499,0,0,27992,10236,6817.068240671168,20.28666836835252,6.268556,0,4.929345626608723e-06,0.01595263725808623,0.0001466906248691954
variant,5_Kmimic_1_matterpower.dat,False,matched coordinates,654,654,654,0,0,1308,379,3029.8861201216287,0.9126040207961111,0.014384999999999981,0,0.0001095765498740241,69.51685783802581,0.00033004540776597144
variant,5_Kmimic_1_scalCls.dat,False,matched coordinates,3499,3499,3499,0,0,20994,6650,927.6892274669366,0.991565139696497,98.855676,0,0.00010085066123906745,1.0115757035539366,0.0010779471943751127
variant,5_Kmimic_1_scalarCovCls.dat,False,matched coordinates,3499,3499,3499,0,0,90974,13669,6817.069172157259,20.420538072254672,6.2685543,0,4.8970306093877965e-06,0.01595264158436021,0.00014669060482535052
variant,5_Kmimic_1_tensCls.dat,False,matched coordinates,3499,3499,3499,0,0,17495,0,0.1794084007985866,0.001692164722526532,2.3328999999999993e-05,0,0.059095901639346506,428.6510351922501,5.573874999993189
variant,5_Kmimic_1_totCls.dat,False,matched coordinates,3499,3499,3499,0,0,17495,10236,6817.068240671168,20.28666836835252,6.268556,0,4.929345626608723e-06,0.01595263725808623,0.0001466906248691954
variant,5_Kmimic_1_transfer_out.dat,False,NOT COMPARED: no common coordinates,252,252,0,252,252,0,,,,,0,,,
variant,5_Kmimic_2_lensedCls.dat,False,matched coordinates,3399,3399,3399,0,0,16995,9897,5786.332114539255,24.12683177224482,5.5578131,0,4.144763015052753e-06,0.017992688527075515,0.00017282105143728456
variant,5_Kmimic_2_lensedtotCls.dat,False,matched coordinates,3399,3399,3399,0,0,16995,9897,5786.33088205086,24.401455860844713,5.557811,0,4.0981161357860995e-06,0.017992695325551734,0.00017282108824816602
variant,5_Kmimic_2_lenspotentialCls.dat,False,matched coordinates,3499,3499,3499,0,0,27992,10100,6144.465573400108,35.17666766283405,5.7791634,0,2.8427934379257625e-06,0.01730354258541989,0.0001627480841180202
variant,5_Kmimic_2_matterpower.dat,False,matched coordinates,654,654,654,0,0,1308,376,2634.5513780791366,0.8899416923486664,0.01192100000000007,0,0.00011236691219183991,83.88558006878569,0.0003795712652713968
variant,5_Kmimic_2_scalCls.dat,False,matched coordinates,3499,3499,3499,0,0,20994,6382,799.8614084303861,0.9859870635353402,81.47725,0,0.00010142120895728746,1.22733646508688,0.001250216586848911
variant,5_Kmimic_2_scalarCovCls.dat,False,matched coordinates,3499,3499,3499,0,0,90974,13523,6144.4521847840815,34.62606056852666,5.7791625,0,2.887998182816527e-06,0.017303545280133583,0.00016274843874224736
variant,5_Kmimic_2_tensCls.dat,False,matched coordinates,3499,3499,3499,0,0,17495,0,0.18513718665553783,0.0017279017564430328,2.3569999999999884e-05,0,0.05787366071428431,424.2681374628786,5.4013999999934
variant,5_Kmimic_2_totCls.dat,False,matched coordinates,3499,3499,3499,0,0,17495,10100,6144.465573400108,35.17666766283405,5.7791634,0,2.8427934379257625e-06,0.01730354258541989,0.0001627480841180202
variant,5_Kmimic_2_transfer_out.dat,False,NOT COMPARED: no common coordinates,251,251,0,251,251,0,,,,,0,,,
variant,5_Kmimic_3_lensedCls.dat,False,matched coordinates,3399,3399,3399,0,0,16995,8827,368.6398821201256,1.4998863738459018,0.1279279,0,6.667171710053417e-05,0.7816903114957722,0.0027126744785420107
variant,5_Kmimic_3_lensedtotCls.dat,False,matched coordinates,3399,3399,3399,0,0,16995,8827,368.63920466304666,1.6032358017054618,0.1279283,0,6.237385660526279e-05,0.7816878673444423,0.002712679463688748
variant,5_Kmimic_3_lenspotentialCls.dat,False,matched coordinates,3499,3499,3499,0,0,27992,9112,424.463692928245,2.041239185081258,0.5984382,0,4.8989849269437376e-05,0.16710163221532315,0.0023559141021021286
variant,5_Kmimic_3_matterpower.dat,False,matched coordinates,654,654,654,0,0,1308,315,278.84140001890347,0.30581393030858783,0.0011369999999999436,0,0.0003269962225039682,879.507475813588,0.0035862680359953977
variant,5_Kmimic_3_scalCls.dat,False,matched coordinates,3499,3499,3499,0,0,20994,3480,90.45271898310462,0.18943102431613984,45.2362,0,0.0005278966334105381,2.210618929087766,0.011055499616178336
variant,5_Kmimic_3_scalarCovCls.dat,False,matched coordinates,3499,3499,3499,0,0,90974,12269,424.46381241696764,2.0376619397759104,0.5984389,0,4.9075854069786173e-05,0.16710143675486339,0.0023559134389003235
variant,5_Kmimic_3_tensCls.dat,False,matched coordinates,3499,3499,3499,0,0,17495,0,0.19620538780018879,0.002151272836428173,2.4660000000000133e-05,0,0.046484108527132806,405.51500405514787,5.0966999999937705
variant,5_Kmimic_3_totCls.dat,False,matched coordinates,3499,3499,3499,0,0,17495,9112,424.463692928245,2.041239185081258,0.5984382,0,4.8989849269437376e-05,0.16710163221532315,0.0023559141021021286
variant,5_Kmimic_3_transfer_out.dat,False,NOT COMPARED: no common coordinates,251,251,0,251,251,0,,,,,0,,,
variant,5_Kmouflage_1_lensedCls.dat,True,matched coordinates,3399,3399,3399,0,0,16995,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_1_lensedtotCls.dat,True,matched coordinates,3399,3399,3399,0,0,16995,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_1_lenspotentialCls.dat,True,matched coordinates,3499,3499,3499,0,0,27992,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_1_matterpower.dat,True,matched coordinates,654,654,654,0,0,1308,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_1_scalCls.dat,True,matched coordinates,3499,3499,3499,0,0,20994,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_1_scalarCovCls.dat,True,matched coordinates,3499,3499,3499,0,0,90974,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_1_tensCls.dat,True,matched coordinates,3499,3499,3499,0,0,17495,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_1_totCls.dat,True,matched coordinates,3499,3499,3499,0,0,17495,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_1_transfer_out.dat,True,matched coordinates,246,246,246,0,0,3198,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_2_lensedCls.dat,True,matched coordinates,3399,3399,3399,0,0,16995,0,0.0,0.0,0.0,0,,,
variant,5_Kmouflage_2_lensedtotCls.dat,True,matched coordinates,3399,3399,3399,0,0,16995,0,0.0,0.0,0.0,0,,,
