arm,file,line,column,coordinate,reference,candidate,absolute_error,allowed,bound_fraction
stock-trace,5_Kmouflage_3_transfer_out.dat,239,5,18.214,-5.44486e-08,-5.44848e-08,3.6199999999998696e-11,1000.0000000000055,3.61999999999985e-14
consistent-background-trace,5_Kmimic_1_lensedCls.dat,2333,2,2333.0,113.063,113.064,0.000999999999990564,0.11130630000000001,0.008984217425164288
consistent-background-trace,5_Kmimic_1_lensedtotCls.dat,695,2,695.0,1869.68,1869.69,0.009999999999990905,0.286968,0.03484709096481456
consistent-background-trace,5_Kmimic_1_lenspotentialCls.dat,1338,2,1338.0,736.382,736.383,0.00100000000009004,0.17363820000000002,0.005759101396409545
consistent-background-trace,5_Kmimic_1_scalCls.dat,327,2,327.0,3396.1,3396.11,0.010000000000218279,100.33961,9.966153944806323e-05
consistent-background-trace,5_Kmimic_1_scalarCovCls.dat,1896,2,1896.0,239.819,239.82,0.0010000000000047748,0.1239819,0.008065693460132283
consistent-background-trace,5_Kmimic_1_totCls.dat,1338,2,1338.0,736.382,736.383,0.00100000000009004,0.17363820000000002,0.005759101396409545
consistent-background-trace,5_Kmimic_2_lensedCls.dat,1034,2,1034.0,1073.85,1073.86,0.009999999999990905,0.20738499999999999,0.04821949514184201
consistent-background-trace,5_Kmimic_2_lensedtotCls.dat,1026,2,1026.0,1061.82,1061.83,0.009999999999990905,0.206182,0.0485008390644717
consistent-background-trace,5_Kmimic_2_lenspotentialCls.dat,1015,2,1015.0,1031.07,1031.08,0.009999999999990905,0.203107,0.0492351322209028
consistent-background-trace,5_Kmimic_2_matterpower.dat,274,2,0.0230442,21163.0,21162.9,0.09999999999854481,3.1163000000000003,0.03208933671294317
consistent-background-trace,5_Kmimic_2_scalCls.dat,21,5,21.0,4781520.0,4781530.0,10.0,578.152,0.017296489504490167
consistent-background-trace,5_Kmimic_2_scalarCovCls.dat,1016,2,1016.0,1031.24,1031.25,0.009999999999990905,0.20312400000000003,0.04923101159878155
consistent-background-trace,5_Kmimic_2_totCls.dat,1015,2,1015.0,1031.07,1031.08,0.009999999999990905,0.203107,0.0492351322209028
consistent-background-trace,5_Kmimic_2_transfer_out.dat,105,3,0.128645,1436810.0,1436820.0,10.0,1143.681,0.008743696887506218
consistent-background-trace,5_Kmimic_3_lensedCls.dat,2114,2,2114.0,190.225,190.226,0.0010000000000047748,0.1190225,0.008401772774095442
consistent-background-trace,5_Kmimic_3_lensedtotCls.dat,973,2,973.0,1126.06,1126.07,0.009999999999990905,0.21260600000000002,0.04703536118449576
consistent-background-trace,5_Kmimic_3_lenspotentialCls.dat,592,2,592.0,2237.52,2237.53,0.010000000000218279,0.32375200000000004,0.03088784007579344
