arm,model,values,failing,max_bound_fraction,combined_margin,bulk_margin,near_zero_margin
stock-trace,5_Kmimic_1,213524,604,1.7982220574512,0.5561048458149824,0.01724241486068128,132.18770654329023
stock-trace,5_Kmimic_2,213511,3363,2.3940492385512595,0.41770235294122116,0.011253035714285894,88.69966294128078
stock-trace,5_Kmimic_3,213511,0,0.10983071456891569,9.104921186436679,0.2695199999999168,5208.333333334148
d2-fix-trace,5_Kmimic_1,213524,6673,2.8744350936575147,0.3478944444445851,0.0053821814762576295,40.32095480020969
d2-fix-trace,5_Kmimic_2,213511,2093,2.126643188948943,0.4702246268657004,0.013609378407851674,106.89470871191811
d2-fix-trace,5_Kmimic_3,213511,0,0.21695953457508002,4.609154430380402,0.10973493975903649,1930.5019305017584
