arm,file,line,column,coordinate,reference,candidate,absolute_error,allowed,bound_fraction
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3180,2,3180.0,1097.13,1096.92,0.21000000000003638,0.20971300000000004,1.0013685370007408
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3181,2,3181.0,1093.06,1092.85,0.21000000000003638,0.209306,1.0033157195686526
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3182,2,3182.0,1089.04,1088.83,0.21000000000003638,0.208904,1.0052464289819074
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3183,2,3183.0,1085.09,1084.87,0.22000000000002728,0.208509,1.055110330969058
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3184,2,3184.0,1081.18,1080.96,0.22000000000002728,0.20811800000000003,1.0570926109227807
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3185,2,3185.0,1077.34,1077.11,0.2300000000000182,0.207734,1.1071851502402985
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3186,2,3186.0,1073.55,1073.32,0.2300000000000182,0.207355,1.1092088447349626
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3187,2,3187.0,1069.82,1069.59,0.2300000000000182,0.206982,1.111207737871014
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3188,2,3188.0,1066.15,1065.92,0.2300000000000182,0.20661500000000002,1.1131815211868363
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3189,2,3189.0,1062.54,1062.3,0.2400000000000091,0.206254,1.163613796580959
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3190,2,3190.0,1058.99,1058.75,0.2400000000000091,0.205899,1.1656200370084804
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3191,2,3191.0,1055.5,1055.25,0.25,0.20555,1.216249087813184
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3192,2,3192.0,1052.07,1051.82,0.25,0.205207,1.2182820274162187
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3193,2,3193.0,1048.71,1048.45,0.2599999999999909,0.20487100000000003,1.2690912818309612
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3194,2,3194.0,1045.4,1045.14,0.2599999999999909,0.20454,1.2711450083112883
