model,unique_times,a_selection,predictor,response,slope,intercept,r_squared,interpretation
5_Kmimic_1,67,a < 1e-6,"theta*(1-theta), theta=fractional log(a) grid coordinate",C/(A1*adotoa^2),-0.010023339164668356,-1.5086449250379611e-06,0.9987979763691448,"exploratory association, not causal proof or a pass criterion"
5_Kmimic_2,67,a < 1e-6,"theta*(1-theta), theta=fractional log(a) grid coordinate",C/(A1*adotoa^2),-0.010069105398411464,9.088780362456273e-06,0.9989119957114111,"exploratory association, not causal proof or a pass criterion"
5_Kmimic_3,68,a < 1e-6,"theta*(1-theta), theta=fractional log(a) grid coordinate",C/(A1*adotoa^2),-0.010035151317118315,1.5543687958876739e-06,0.9985898533635195,"exploratory association, not causal proof or a pass criterion"
