rule atol=1e-10 rtol=1e-08
field         variant   max|ref|   max|err|(1st)  |r|@worst(1st)
Eta          3.60e-06   3.63e-01   1.67e-15   2.10e-02
PH           7.11e-06   3.97e+01   1.24e-14   4.70e-02
PHL          1.36e-07   9.35e+00   1.24e-14   9.14e+00
S            1.78e-07   1.20e+01   2.13e-14   1.20e+01
T            1.83e-07   1.33e+01   1.95e-14   1.06e+01
U            4.78e-06   1.43e-01   1.64e-15   1.26e-04
V            1.05e-05   9.11e-03   1.58e-15   5.02e-03
W            6.33e-08   2.55e-05   6.34e-18   1.06e-05
