rule atol=1e-10 rtol=1e-08
field            ieee    variant      cheap      wrong   max|ref|   max|err|(1st)  |r|@worst(1st)
Eta          2.53e-03   4.82e-03   1.40e+09   1.58e+06   9.13e+04   7.15e-08   2.72e+02
PH           8.19e-02   2.85e-02   4.39e+10   1.09e+07   2.13e+02   7.63e-11   2.43e-03
PHL          4.25e-04   2.17e-04   7.90e+07   8.05e+05   3.90e+01   7.56e-11   1.78e+01
S            1.31e-06   8.19e-08   2.21e+03   9.50e+01   3.74e+01   4.55e-13   3.46e+01
T            1.69e-05   5.18e-06   2.50e+06   5.69e+04   2.97e+01   1.24e-14   1.25e-02
U            5.02e-05   2.03e-05   6.31e+06   2.00e+05   7.11e-02   6.33e-15   2.60e-03
V            4.34e-05   9.61e-06   2.71e+06   1.59e+05   5.34e-02   4.88e-15   1.24e-03
W            2.33e-03   1.48e-03   3.06e+08   3.21e+06   1.09e+00   5.92e-13   1.34e-02
