configuration,file,coordinate_rows_changed,atol,bulk_failing,bulk_margin,bulk_values,combined_margin,files,max_absolute_error_below_atol,max_bound_fraction,max_relative_error_above_atol,near_zero_failing,near_zero_margin,near_zero_values,rtol,values,values_failing
baseline-8-threads,5_Kmimic_1_lensedCls.dat,0,0.1,0,0.01724241486068128,15186,1.1832176470583173,1,0.0007565000000000002,0.8451530472742459,0.005799651661788679,0,132.18770654329145,1809,0.0001,16995,0
baseline-8-threads,5_Kmimic_1_lensedtotCls.dat,0,0.1,0,0.017553786707882674,15197,1.1832176470583173,1,0.0007565000000000072,0.8451530472742459,0.00569677652258895,0,132.18770654329023,1798,0.0001,16995,0
baseline-8-threads,5_Kmimic_1_lenspotentialCls.dat,0,0.1,200,0.01862090878032107,13953,0.599099628252776,1,0.0007508999999999988,1.669171458036815,0.005370307173497456,0,133.1735251032097,14039,0.0001,27992,200
baseline-8-threads,5_Kmimic_1_matterpower.dat,0,1.0,4,0.10836938775510002,730,0.5561048458149824,1,0.00013199999999990997,1.7982220574512,0.0009227698160110151,0,7575.757575762743,578,0.0001,1308,4
baseline-8-threads,5_Kmimic_1_scalCls.dat,0,100.0,0,0.2258479245283135,10872,10.454654545454545,1,0.07739999999999725,0.0956511758138176,0.0004427758200959844,0,1291.9896640827333,10122,0.0001,20994,0
baseline-8-threads,5_Kmimic_1_scalarCovCls.dat,0,0.1,200,0.018930157103824865,17439,0.599099628252776,1,0.0007510000000000017,1.669171458036815,0.005282576338460227,0,133.15579227696375,73535,0.0001,90974,200
baseline-8-threads,5_Kmimic_1_tensCls.dat,0,0.01,0,,6678,,1,0.0,0.0,0.0,0,,10817,0.0001,17495,0
baseline-8-threads,5_Kmimic_1_totCls.dat,0,0.1,200,0.01862090878032107,13953,0.599099628252776,1,0.0007508999999999988,1.669171458036815,0.005370307173497456,0,133.1735251032097,3542,0.0001,17495,200
baseline-8-threads,5_Kmimic_1_transfer_out.dat,0,1000.0,0,0.18606344827586208,1783,2.824672351421189,1,0.19400000000007367,0.3540233611508485,0.0005374510734195232,0,5154.639175255775,1493,0.0001,3276,0
baseline-8-threads,5_Kmimic_2_lensedCls.dat,0,0.1,623,0.01591918656056597,14304,0.7230515151511764,1,0.0011274000000000006,1.383027321076727,0.006281728002843679,0,88.69966294128078,2691,0.0001,16995,623
baseline-8-threads,5_Kmimic_2_lensedtotCls.dat,0,0.1,623,0.015738903625110618,14313,0.7279656250001448,1,0.0011274000000000006,1.3736912371374692,0.00635368272034242,0,88.69966294128078,2682,0.0001,16995,623
baseline-8-threads,5_Kmimic_2_lenspotentialCls.dat,0,0.1,705,0.011253035714285894,13955,0.6165674418603739,1,1.4799999999995372e-05,1.6218825907879468,0.008886490946887206,0,6756.756756758869,14037,0.0001,27992,705
baseline-8-threads,5_Kmimic_2_matterpower.dat,0,1.0,2,0.11882525252527872,731,0.41770235294122116,1,9.199999999998099e-05,2.3940492385512595,0.000841571954401916,0,10869.56521739355,577,0.0001,1308,2
baseline-8-threads,5_Kmimic_2_scalCls.dat,0,100.0,0,0.3442750000000497,10693,20.0994,1,0.04080000000000439,0.0497527289371822,0.00029046547091710284,0,2450.980392156599,10301,0.0001,20994,0
baseline-8-threads,5_Kmimic_2_scalarCovCls.dat,0,0.1,705,0.011443878462913224,17443,0.6249666666665584,1,1.4899999999998248e-05,1.6000853378849644,0.008738296227461279,0,6711.409395973944,73531,0.0001,90974,705
baseline-8-threads,5_Kmimic_2_tensCls.dat,0,0.01,0,,6681,,1,0.0,0.0,0.0,0,,10814,0.0001,17495,0
baseline-8-threads,5_Kmimic_2_totCls.dat,0,0.1,705,0.011253035714285894,13955,0.6165674418603739,1,1.4799999999995372e-05,1.6218825907879468,0.008886490946887206,0,6756.756756758869,3540,0.0001,17495,705
baseline-8-threads,5_Kmimic_2_transfer_out.dat,0,1000.0,0,0.20434174757281554,1777,2.5633438679245284,1,0.1740999999999957,0.3901154318439818,0.0004893762590748414,0,5743.825387708355,1486,0.0001,3263,0
baseline-1-thread,5_Kmimic_1_lensedCls.dat,0,0.1,0,0.01724241486068128,15186,1.1832176470583173,1,0.0007565000000000002,0.8451530472742459,0.005799651661788679,0,132.18770654329145,1809,0.0001,16995,0
baseline-1-thread,5_Kmimic_1_lensedtotCls.dat,0,0.1,0,0.017553786707882674,15197,1.1832176470583173,1,0.0007565000000000072,0.8451530472742459,0.00569677652258895,0,132.18770654329023,1798,0.0001,16995,0
baseline-1-thread,5_Kmimic_1_lenspotentialCls.dat,0,0.1,200,0.01862090878032107,13953,0.599099628252776,1,0.0007508999999999988,1.669171458036815,0.005370307173497456,0,133.1735251032097,14039,0.0001,27992,200
baseline-1-thread,5_Kmimic_1_matterpower.dat,0,1.0,4,0.10836938775510002,730,0.5561048458149824,1,0.00013199999999990997,1.7982220574512,0.0009227698160110151,0,7575.757575762743,578,0.0001,1308,4
baseline-1-thread,5_Kmimic_1_scalCls.dat,0,100.0,0,0.2258479245283135,10872,10.454654545454545,1,0.07739999999999725,0.0956511758138176,0.0004427758200959844,0,1291.9896640827333,10122,0.0001,20994,0
baseline-1-thread,5_Kmimic_1_scalarCovCls.dat,0,0.1,200,0.018930157103824865,17439,0.599099628252776,1,0.0007510000000000017,1.669171458036815,0.005282576338460227,0,133.15579227696375,73535,0.0001,90974,200
baseline-1-thread,5_Kmimic_1_tensCls.dat,0,0.01,0,,6678,,1,0.0,0.0,0.0,0,,10817,0.0001,17495,0
baseline-1-thread,5_Kmimic_1_totCls.dat,0,0.1,200,0.01862090878032107,13953,0.599099628252776,1,0.0007508999999999988,1.669171458036815,0.005370307173497456,0,133.1735251032097,3542,0.0001,17495,200
baseline-1-thread,5_Kmimic_1_transfer_out.dat,0,1000.0,0,0.18606344827586208,1783,2.824672351421189,1,0.19400000000007367,0.3540233611508485,0.0005374510734195232,0,5154.639175255775,1493,0.0001,3276,0
baseline-1-thread,5_Kmimic_2_lensedCls.dat,0,0.1,623,0.01591918656056597,14304,0.7230515151511764,1,0.0011274000000000006,1.383027321076727,0.006281728002843679,0,88.69966294128078,2691,0.0001,16995,623
baseline-1-thread,5_Kmimic_2_lensedtotCls.dat,0,0.1,623,0.015738903625110618,14313,0.7279656250001448,1,0.0011274000000000006,1.3736912371374692,0.00635368272034242,0,88.69966294128078,2682,0.0001,16995,623
baseline-1-thread,5_Kmimic_2_lenspotentialCls.dat,0,0.1,705,0.011253035714285894,13955,0.6165674418603739,1,1.4799999999995372e-05,1.6218825907879468,0.008886490946887206,0,6756.756756758869,14037,0.0001,27992,705
baseline-1-thread,5_Kmimic_2_matterpower.dat,0,1.0,2,0.11882525252527872,731,0.41770235294122116,1,9.199999999998099e-05,2.3940492385512595,0.000841571954401916,0,10869.56521739355,577,0.0001,1308,2
baseline-1-thread,5_Kmimic_2_scalCls.dat,0,100.0,0,0.3442750000000497,10693,20.0994,1,0.04080000000000439,0.0497527289371822,0.00029046547091710284,0,2450.980392156599,10301,0.0001,20994,0
baseline-1-thread,5_Kmimic_2_scalarCovCls.dat,0,0.1,705,0.011443878462913224,17443,0.6249666666665584,1,1.4899999999998248e-05,1.6000853378849644,0.008738296227461279,0,6711.409395973944,73531,0.0001,90974,705
baseline-1-thread,5_Kmimic_2_tensCls.dat,0,0.01,0,,6681,,1,0.0,0.0,0.0,0,,10814,0.0001,17495,0
baseline-1-thread,5_Kmimic_2_totCls.dat,0,0.1,705,0.011253035714285894,13955,0.6165674418603739,1,1.4799999999995372e-05,1.6218825907879468,0.008886490946887206,0,6756.756756758869,3540,0.0001,17495,705
baseline-1-thread,5_Kmimic_2_transfer_out.dat,0,1000.0,0,0.20434174757281554,1777,2.5633438679245284,1,0.1740999999999957,0.3901154318439818,0.0004893762590748414,0,5743.825387708355,1486,0.0001,3263,0
accuracy-boost-2,5_Kmimic_1_lensedCls.dat,0,0.1,531,0.010230091438071407,15288,0.8244555555557848,1,0.0012076000000000031,1.2129216587374156,0.009775083693567862,0,82.80887711162616,1707,0.0001,16995,531
accuracy-boost-2,5_Kmimic_1_lensedtotCls.dat,0,0.1,530,0.0104005818786369,15302,0.8244555555557848,1,0.0012075999999999892,1.2129216587374156,0.009614846665973847,0,82.80887711162711,1693,0.0001,16995,530
accuracy-boost-2,5_Kmimic_1_lenspotentialCls.dat,0,0.1,550,0.013944733861834736,13954,0.7381600000002985,1,0.0011962000000000014,1.3547198439357262,0.0071711659032582505,0,83.59806052499573,14038,0.0001,27992,550
accuracy-boost-2,5_Kmimic_1_matterpower.dat,0,1.0,0,0.2679184210526348,765,1.1074943089430729,1,5.899999999992023e-05,0.9029391771361253,0.0003732479446807212,0,16949.152542395797,613,0.0001,1378,0
accuracy-boost-2,5_Kmimic_1_scalCls.dat,0,100.0,0,0.36537727272741627,10915,12.9781,1,0.02009999999999934,0.07705288139249968,0.00027368971051082143,0,4975.124378109616,10079,0.0001,20994,0
accuracy-boost-2,5_Kmimic_1_scalarCovCls.dat,0,0.1,549,0.013685277463193738,17443,0.7381600000002985,1,0.0011960999999999986,1.3547198439357262,0.007307122582567133,0,83.6050497450047,73531,0.0001,90974,549
accuracy-boost-2,5_Kmimic_1_tensCls.dat,0,0.01,0,47.702300001938305,6676,100047.70230406527,1,0.0,9.995232044018333e-06,2.096334977473553e-06,0,,10819,0.0001,17495,0
accuracy-boost-2,5_Kmimic_1_totCls.dat,0,0.1,550,0.013944733861834736,13954,0.7381600000002985,1,0.0011962000000000014,1.3547198439357262,0.0071711659032582505,0,83.59806052499573,3541,0.0001,17495,550
accuracy-boost-2,5_Kmimic_1_transfer_out.dat,0,1000.0,0,0.4256305084745763,5549,4.479648,1,0.125,0.22323182535770666,0.00023494556430738844,0,8000.0,5488,0.0001,11037,0
accuracy-boost-2,5_Kmimic_2_lensedCls.dat,0,0.1,0,0.15816390041494352,14652,3.37936666666974,1,0.0002571999999999991,0.29591343545607873,0.0006322555256771594,0,388.80248833592674,2343,0.0001,16995,0
accuracy-boost-2,5_Kmimic_2_lensedtotCls.dat,0,0.1,0,0.159976763485483,14661,3.37936666666974,1,0.0002571999999999991,0.29591343545607873,0.0006250907808187684,0,388.80248833592674,2334,0.0001,16995,0
accuracy-boost-2,5_Kmimic_2_lenspotentialCls.dat,0,0.1,0,0.06295626666666429,13954,2.006449999999544,1,5.6200000000006245e-05,0.4983926835955181,0.0015884042255788747,0,1779.3594306047846,14038,0.0001,27992,0
accuracy-boost-2,5_Kmimic_2_matterpower.dat,0,1.0,0,0.24286428571426996,766,1.1305035087720563,1,6.4000000000064e-05,0.8845616066120767,0.00041175259551192345,0,15624.999999984373,612,0.0001,1378,0
accuracy-boost-2,5_Kmimic_2_scalCls.dat,0,100.0,0,0.9114454545458126,10772,26.4222,1,0.013400000000004297,0.037846962024358305,0.00010971583598475628,0,7462.686567161786,10222,0.0001,20994,0
accuracy-boost-2,5_Kmimic_2_scalarCovCls.dat,0,0.1,0,0.06400212765957661,17441,2.006449999999544,1,8.800000000000474e-05,0.4983926835955181,0.0015624480569129495,0,1136.363636363575,73533,0.0001,90974,0
accuracy-boost-2,5_Kmimic_2_tensCls.dat,0,0.01,0,37.03449999893505,6679,100037.03449712336,1,0.0,9.99629792133388e-06,2.7001849627475886e-06,0,,10816,0.0001,17495,0
accuracy-boost-2,5_Kmimic_2_totCls.dat,0,0.1,0,0.06295626666666429,13954,2.006449999999544,1,5.6200000000006245e-05,0.4983926835955181,0.0015884042255788747,0,1779.3594306047846,3541,0.0001,17495,0
accuracy-boost-2,5_Kmimic_2_transfer_out.dat,0,1000.0,0,0.45852287581699347,5541,5.529015000000001,1,0.1220000000000141,0.1808640417868282,0.00021809162699204607,0,8196.721311474463,5483,0.0001,11024,0
background-2000-points,5_Kmimic_1_lensedCls.dat,0,0.1,0,0.861294444443583,16230,20.196600000018368,1,1.1099999999999999e-05,0.0495132844141633,0.00011610431327535429,0,9009.00900900901,765,0.0001,16995,0
background-2000-points,5_Kmimic_1_lensedtotCls.dat,0,0.1,0,0.8607388888893552,16253,20.071900000018257,1,1.1099999999999999e-05,0.04982089388643279,0.0001161792516764682,0,9009.00900900901,742,0.0001,16995,0
background-2000-points,5_Kmimic_1_lenspotentialCls.dat,0,0.1,0,1.3007533333344394,13940,25.870500000023533,1,4.730000000000012e-05,0.03865406544129763,7.687852680235169e-05,0,2114.164904862574,14052,0.0001,27992,0
background-2000-points,5_Kmimic_1_matterpower.dat,0,1.0,2,0.6605947368424097,738,0.9229353846153847,1,0.00013499999999999623,1.0834994699187208,0.00015137874164422208,0,7407.407407407614,570,0.0001,1308,2
background-2000-points,5_Kmimic_1_scalCls.dat,0,100.0,0,0.8393200000000001,9515,1.372042105263158,1,0.00010000000000331966,0.7288406063953845,0.00011914406900824477,0,999999.9999668035,11479,0.0001,20994,0
background-2000-points,5_Kmimic_1_scalarCovCls.dat,0,0.1,0,0.819992307692363,20323,26.72970000002431,1,4.730000000000012e-05,0.03741156840514823,0.00012195236353060651,0,2114.164904862574,70651,0.0001,90974,0
background-2000-points,5_Kmimic_1_tensCls.dat,0,0.01,0,,6678,1000091.5156059393,1,9.999999999940612e-09,9.999084927684004e-07,0.0,0,1000000.0000059388,10817,0.0001,17495,0
background-2000-points,5_Kmimic_1_totCls.dat,0,0.1,0,1.3007533333344394,13940,25.870500000023533,1,4.730000000000012e-05,0.03865406544129763,7.687852680235169e-05,0,2114.164904862574,3555,0.0001,17495,0
background-2000-points,5_Kmimic_1_transfer_out.dat,0,1000.0,0,0.8482764705878723,1804,6.469933333333334,1,0.12599999999997635,0.15456109800204018,0.00011788609429505694,0,7936.507936509426,1472,0.0001,3276,0
background-2000-points,5_Kmimic_2_lensedCls.dat,0,0.1,0,0.024803138297872437,13545,10.307933333420834,1,6.470000000000087e-05,0.09701265691714905,0.004031747869928936,0,1545.5950540958063,3450,0.0001,16995,0
background-2000-points,5_Kmimic_2_lensedtotCls.dat,0,0.1,0,0.025385319148936273,13554,10.40320000008831,1,6.470000000000087e-05,0.09612426945473616,0.00393928472647114,0,1545.5950540958063,3441,0.0001,16995,0
background-2000-points,5_Kmimic_2_lenspotentialCls.dat,0,0.1,0,0.005595042563845772,13944,10.3603999999309,1,4.106999999999982e-05,0.09652136983192441,0.017872965014812087,0,2434.867299732175,14048,0.0001,27992,0
background-2000-points,5_Kmimic_2_matterpower.dat,0,1.0,3,0.3950761904761221,740,0.46139428571428576,1,0.00011300000000002974,2.1673437035569205,0.0002531157341562042,0,8849.557522121564,568,0.0001,1308,3
background-2000-points,5_Kmimic_2_scalCls.dat,0,100.0,0,0.46294303797468356,9511,1.72876582278481,1,0.002020000000000799,0.5784473448168556,0.0002160092966026386,0,49504.95049502992,11483,0.0001,20994,0
background-2000-points,5_Kmimic_2_scalarCovCls.dat,0,0.1,0,0.005040921612822444,17660,10.359866666754609,1,4.1100000000002246e-05,0.09652633881950005,0.01983764233620157,0,2433.0900243307674,73314,0.0001,90974,0
background-2000-points,5_Kmimic_2_tensCls.dat,0,0.01,0,,6681,,1,0.0,0.0,0.0,0,,10814,0.0001,17495,0
background-2000-points,5_Kmimic_2_totCls.dat,0,0.1,0,0.005595042563845772,13944,10.3603999999309,1,4.106999999999982e-05,0.09652136983192441,0.017872965014812087,0,2434.867299732175,3551,0.0001,17495,0
background-2000-points,5_Kmimic_2_transfer_out.dat,0,1000.0,0,0.7740833333340373,1797,6.132394736842105,1,0.08699999999998909,0.16306843295527204,0.00012918505759488736,0,11494.252873564661,1466,0.0001,3263,0
