configuration,values,failing,max_bound_fraction,combined_margin,max_bulk_relative,max_near_zero_absolute,bulk_margin,near_zero_margin,model_run_seconds
baseline-8-threads,427035,3967,2.3940492385512595,0.41770235294122116,0.008886490946887206,0.19400000000007367,0.011253035714285894,88.69966294128078,9.504512254999952
baseline-1-thread,427035,3967,2.3940492385512595,0.41770235294122116,0.008886490946887206,0.19400000000007367,0.011253035714285894,88.69966294128078,76.55768795099999
accuracy-boost-2,442697,2710,1.3547198439357262,0.7381600000002985,0.009775083693567862,0.125,0.010230091438071407,82.80887711162616,196.77267004699985
background-2000-points,427035,5,2.1673437035569205,0.46139428571428576,0.01983764233620157,0.12599999999997635,0.005040921612822444,1545.5950540958063,11.194735796000145
