configuration,file,line,column,coordinate,reference,candidate,absolute_error,allowed,bound_fraction
accuracy-boost-2,5_Kmimic_1_tensCls.dat,1192,2,1192.0,0.0477023,0.0477024,9.999999999593667e-08,0.01000477023,9.995232044018333e-06
accuracy-boost-2,5_Kmimic_1_totCls.dat,2983,2,2983.0,2321.72,2321.27,0.4499999999998181,0.332172,1.3547198439357262
accuracy-boost-2,5_Kmimic_1_transfer_out.dat,291,3,0.311602,1199120.0,1198870.0,250.0,1119.912,0.22323182535770666
accuracy-boost-2,5_Kmimic_2_lensedCls.dat,3145,2,3145.0,1027.62,1027.56,0.05999999999994543,0.202762,0.29591343545607873
accuracy-boost-2,5_Kmimic_2_lensedtotCls.dat,3145,2,3145.0,1027.62,1027.56,0.05999999999994543,0.202762,0.29591343545607873
accuracy-boost-2,5_Kmimic_2_lenspotentialCls.dat,3145,2,3145.0,1006.45,1006.35,0.10000000000002274,0.20064500000000002,0.4983926835955181
accuracy-boost-2,5_Kmimic_2_matterpower.dat,407,2,0.329447,2887.74,2886.6,1.1399999999998727,1.288774,0.8845616066120767
accuracy-boost-2,5_Kmimic_2_scalCls.dat,211,5,211.0,1642220.0,1642230.0,10.0,264.222,0.037846962024358305
accuracy-boost-2,5_Kmimic_2_scalarCovCls.dat,3145,2,3145.0,1006.45,1006.35,0.10000000000002274,0.20064500000000002,0.4983926835955181
accuracy-boost-2,5_Kmimic_2_tensCls.dat,43,3,43.0,0.0370345,0.0370346,1.0000000000287557e-07,0.01000370345,9.99629792133388e-06
accuracy-boost-2,5_Kmimic_2_totCls.dat,3145,2,3145.0,1006.45,1006.35,0.10000000000002274,0.20064500000000002,0.4983926835955181
accuracy-boost-2,5_Kmimic_2_transfer_out.dat,294,3,0.319217,1058030.0,1058230.0,200.0,1105.803,0.1808640417868282
background-2000-points,5_Kmimic_1_lensedCls.dat,978,2,978.0,1019.66,1019.67,0.009999999999990905,0.201966,0.0495132844141633
background-2000-points,5_Kmimic_1_lensedtotCls.dat,1051,2,1051.0,1007.19,1007.2,0.009999999999990905,0.20071900000000004,0.04982089388643279
background-2000-points,5_Kmimic_1_lenspotentialCls.dat,420,2,420.0,1587.05,1587.04,0.009999999999990905,0.258705,0.03865406544129763
background-2000-points,5_Kmimic_1_matterpower.dat,569,2,8.412,589908.0,589843.0,65.0,59.9908,1.0834994699187208
background-2000-points,5_Kmimic_1_scalCls.dat,3317,5,3317.0,1606880.0,1606690.0,190.0,260.688,0.7288406063953845
background-2000-points,5_Kmimic_1_scalarCovCls.dat,389,2,389.0,1672.97,1672.96,0.009999999999990905,0.267297,0.03741156840514823
background-2000-points,5_Kmimic_1_tensCls.dat,385,5,385.0,0.00915156,0.00915157,9.999999999940612e-09,0.010000915156,9.999084927684004e-07
background-2000-points,5_Kmimic_1_totCls.dat,420,2,420.0,1587.05,1587.04,0.009999999999990905,0.258705,0.03865406544129763
background-2000-points,5_Kmimic_1_transfer_out.dat,231,3,8.30436,3586860.0,3586650.0,210.0,1358.6860000000001,0.15456109800204018
background-2000-points,5_Kmimic_2_lensedCls.dat,853,2,853.0,2092.38,2092.41,0.02999999999974534,0.309238,0.09701265691714905
background-2000-points,5_Kmimic_2_lensedtotCls.dat,848,2,848.0,2120.96,2120.99,0.02999999999974534,0.31209600000000004,0.09612426945473616
background-2000-points,5_Kmimic_2_lenspotentialCls.dat,855,2,855.0,2108.12,2108.15,0.03000000000020009,0.310812,0.09652136983192441
background-2000-points,5_Kmimic_2_matterpower.dat,568,2,8.24543,151488.0,151453.0,35.0,16.1488,2.1673437035569205
background-2000-points,5_Kmimic_2_scalCls.dat,3473,5,3473.0,365725.0,365646.0,79.0,136.5725,0.5784473448168556
background-2000-points,5_Kmimic_2_scalarCovCls.dat,855,2,855.0,2107.96,2107.99,0.02999999999974534,0.310796,0.09652633881950005
background-2000-points,5_Kmimic_2_totCls.dat,855,2,855.0,2108.12,2108.15,0.03000000000020009,0.310812,0.09652136983192441
background-2000-points,5_Kmimic_2_transfer_out.dat,230,3,8.29326,1651550.0,1651360.0,190.0,1165.155,0.16306843295527204
